rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_next_2_3d_setup
1,301118,恒光股份,制造业-化学原料和化学制品制造业,100.0,0.9515083865097647,0.4986949492038962,2.009185693295782,1.1331010617224881,1.4185484386308154,0.6713421246201046,-0.45304591137530875,0.05119214586255261,0.12032884902840046,0.1958516154766654,0.2481265611990009,0.15806551297898652,-0.0006666666666667043,0.9213973799126639,0.15806551297898652,0.09264524103831889,0.01123114492039738,1.9196705070578366,2.105173764110901,2.077829868593558,8.338,3.871,0.9414664966187852,0.018939567404152136,0.018400748631042366,0.006168044515812938,0.6,-0.03759094583670164,0.015576859746517825,0.03379285091291138,0.006257242034228838,0.6912250633823266,0.7091305101692678,0.2707103386370983,110179083.78150001,29.98,2026-05-08,False,False,True
2,002050,三花智控,制造业-通用设备制造业,99.08256880733946,0.9120510279606178,0.9434278429894768,0.8467200338249198,0.9028105631403629,1.2166296965574859,0.246569566242673,0.7792274003081355,0.1016624040920715,0.16846227862944824,0.12101496421600522,0.23749102226478325,0.12422110334177927,0.025595238095238004,0.7987132352941172,0.12422110334177927,0.038659373402785975,0.005110430414476956,2.813132945218718,2.0841171589381813,1.6754376692861221,4.6739999999999995,2.9305000000000003,0.5949496672922705,0.026116432575791507,0.023748320658956823,0.011136765964043747,0.6,-0.042290175666883645,0.022493410520085858,0.02879682447009846,0.11329820523362955,0.5686050134744208,0.772356757911643,0.22764324208835696,4072851201.1027255,51.69,2026-05-08,False,False,True
3,603085,天成自控,制造业-汽车制造业,98.1651376146789,0.8777767526457672,0.5984950993738484,1.8635719883213113,1.1298273927317828,0.820876585921939,1.3007312631882793,-0.6019608988196414,0.10423452768729646,0.13000000000000012,0.1318864774624373,0.25905292479108644,0.14146218275179945,0.017254313578394687,0.9652777777777779,0.14146218275179945,0.05889978534450111,0.008721032346428554,2.158396282206068,1.9151877850711745,1.6711664118937455,4.045999999999999,2.5515,0.5857338820301781,0.019371925558664,0.017373954447624265,0.002860461234798235,0.65,-0.030782029950083167,0.015627287778778403,0.030715364693437126,0.015793871866295328,0.7149214340101522,0.8108187467705343,0.17366355758558952,122387418.0,13.56,2026-05-08,False,False,True
4,002079,苏州固锝,制造业-计算机、通信和其他电子设备制造业,97.24770642201835,0.8751956834221977,0.38982260461769674,1.879834896973998,1.0156277674073433,1.1322911048853557,1.0656452707343784,-0.08690807030796421,0.05897435897435899,0.16556914393226707,0.18338108882521498,0.31508254724700674,0.16009739506656384,0.0,0.9440789473684211,0.16009739506656384,0.0974640899285314,0.012970575466741798,1.7996445059187658,1.9232582909645304,2.015622903925912,10.040000000000001,5.370500000000001,0.8694721161902987,0.030351526102387963,0.02472628000659087,0.0024268624944766264,0.75,-0.018499486125385323,0.016495510026265696,0.029933660294916495,0.03711903777515446,0.7149214340101522,0.6625214408233266,0.2556603773584908,481655762.89049995,12.39,2026-05-08,False,False,True
5,603051,鹿山新材,制造业-橡胶和塑料制品业,96.3302752293578,0.744883855020917,0.9805177926422194,1.2789816407121137,1.1058726088315751,0.44879873585861724,0.24802360390285166,-0.49440617022248184,0.05764304013663524,0.13571756075194874,0.0969884853852967,0.19951573849878934,0.10049760085303006,0.02993762993762994,0.9614395886889455,0.10049760085303006,0.03671583437000177,0.005169089419835322,1.7742449699770848,1.4774052271716305,1.3805454527923564,4.5,3.3895000000000004,0.3276294438707772,0.022969270042134334,0.023298688981015503,0.009645407070407735,0.6,-0.0542064180398959,0.02251905306458608,0.028667117706840273,0.07954322661151281,0.48377331736703305,0.7264037297340684,0.27359627026593153,124174966.1,24.77,2026-05-08,False,False,True
6,600584,长电科技,制造业-计算机、通信和其他电子设备制造业,95.41284403669725,0.6702201306788792,0.3484529664243278,0.916081373535333,0.58685689741095,0.8657683983448495,0.2625728795860206,2.082225566382262,0.11391571553994728,0.1252771618625277,0.15262321144674074,0.307315816589387,0.13056650849874152,0.025252525252525304,0.927335640138408,0.13056650849874152,0.04858651339971933,0.00726503822210073,2.2248405024908506,1.9718559010520498,1.6346994592408504,7.138,4.5565,0.5665532755404368,0.027466406579179953,0.02737259066019807,0.008750309115464098,0.65,-0.042314335060449015,0.02713055335640553,0.033700085046288415,-0.036495120466168984,0.6447017402740801,0.67295804458679,0.3132488519649342,3703208427.2,50.75,2026-05-08,False,False,True
7,002611,东方精工,制造业-专用设备制造业,94.4954128440367,0.6568291355680089,0.8826085044385943,-0.5014651468516343,0.30129757089669823,1.466153547376264,0.3167127171437357,-0.11918054912638998,0.0976744186046512,0.15332926084300547,0.06546275395033851,0.1218062982768866,0.07572218107230344,0.027203482045701888,0.8459016393442615,0.07572218107230344,0.005116517577345903,0.0007471244917604032,2.689789452935076,1.7650755460260559,1.361816386588338,4.554,3.414,0.3339191564147628,0.026637960478517315,0.024302891027058487,0.01111198863127612,0.6,-0.09106052193225989,0.023168499590293667,0.02695422806664478,0.18066140582220913,0.2837264687744404,0.6969952671031673,0.3030047328968327,603676063.1685001,18.88,2026-05-08,False,False,True
8,603375,盛景微,制造业-计算机、通信和其他电子设备制造业,93.57798165137615,0.5942781397806637,-0.016806324752537197,1.109519983136253,0.45625072456075466,1.6345345643824156,0.21633877928289683,-0.20498290279776077,0.054364640883977966,0.1524154589371982,0.15102533172496968,0.2665250862755508,0.14063714063714072,-0.011396601740571888,0.8945945945945944,0.14063714063714072,0.06494531109915722,0.009421258004253934,2.397471384898605,2.105173764110901,1.962416073787171,11.076,5.975499999999999,0.8535687390176556,0.03161247629577079,0.029353164430440604,0.009002300521607507,0.65,-0.03856041131105392,0.023407018321465318,0.03584742022925921,0.0533976729005643,0.6653390830190083,0.564190645578936,0.2890756860793551,165055456.55,47.71,2026-05-08,False,False,True
9,300007,汉威科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,92.66055045871559,0.5762333082796364,0.9876777366730538,-0.6291360754398296,0.30861593558564276,1.1715668247020148,0.09120086019969657,-0.2607161915388351,0.10128055878928977,0.15365853658536577,0.06868504292815181,0.14278811307078998,0.0806735360643378,0.03072564828938762,0.9186535764375869,0.0806735360643378,0.008503735520574016,0.0008211256739714939,2.6433587591560586,2.002851216626254,1.539254517385935,5.846000000000001,3.8770000000000002,0.507866907402631,0.027919444976526573,0.025717258420765422,0.012970191666272838,0.65,-0.0860454748105216,0.025633258499324768,0.026930172495021425,0.1630811024225245,0.3142409559695827,0.7316734769641797,0.26832652303582033,483776631.92349994,47.3,2026-05-08,False,False,True
10,300861,美畅股份,制造业-非金属矿物制品业,91.74311926605505,0.5565840579826616,-0.14744682913350193,1.5064451332069388,0.5471877950494832,1.0124358691945938,1.30591923663766,-0.4370821671497511,0.024254674077817118,0.1362107623318385,0.1853801169590643,0.314526588845655,0.1534412609895579,-0.015063168124392567,0.9176706827309237,0.1534412609895579,0.0974640899285314,0.01293172328208633,1.5940341308547397,1.974985473581325,2.077829868593558,7.712000000000001,3.6184999999999996,0.9414664966187852,0.02340093406010105,0.021183515442204964,0.006946026937777569,0.75,-0.02777777777777779,0.017455589395328194,0.029981381504782658,-0.020728277875684098,0.7149214340101522,0.5665786810778715,0.34419054969135826,281471022.43,20.27,2026-05-08,False,False,True
