rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
6,002990,盛视科技,软件服务,99.55317247542449,1.1545443047504296,0.9878783032907051,1.6737898606705768,1.2896793885378486,0.7620973071374747,1.4033197616175026,0.11140815715017294,0.06650321789764013,0.14360828130134728,0.2100139082058412,0.22874259444825318,0.15115529018706275,0.005489742848887591,0.9582863585118372,0.09829476852847296,0.07782537503514667,0.04219145024132387,0.009791187085989554,1.3769253752840482,1.4791109481099578,1.504328861724284,0.45336100526827866,0.6198833837204356,13.9281,13.9281,0.0,0.018571668378779077,0.027974401580952272,0.009862478781964655,0.65,-0.0316151202749142,0.0307973799111555,0.04915161872805084,-0.03813907543791364,-0.012546733896221074,0.3607711571568827,0.6414618374584151,0.358538162541585,294867988.7,34.8,2026-04-13,False,False,True,True
20,301228,实朴检测,电器仪表,98.30205540661304,0.9439550268357495,1.3553935676080537,1.402358376295883,1.3760580834306986,1.748997513532921,-0.6557272835449035,0.8380661304368691,0.07497194163860832,0.14323227500596802,0.17061843070154015,0.12286049237983598,0.11777611800952315,0.01798960109772792,0.9518664047151275,0.04033236859303546,0.03333955746428918,0.01544514406250741,0.0028345534735915137,2.486231488373304,2.032429647625907,1.4752026990248452,0.24394683990632493,0.7385234972788596,17.0638,17.0638,0.0,0.03901453880253792,0.03979204960195391,0.023087930235206725,0.55,-0.13911692922121155,0.03638643751728942,0.05506751319037857,-0.04385886778652508,0.1610517357328144,0.19314996237817517,0.5369424105148981,0.17482536942714144,127332507.0,47.89,2026-04-13,False,False,True,True
24,603281,江瀚新材,化工原料,97.94459338695263,0.9145674673061837,0.4197754146123009,1.2172421060978382,0.7706607588659373,1.013052110528023,1.4111578819067137,-0.8962254585339758,0.03633762517882677,0.10057733211789732,0.10866238138965412,0.1203216826476956,0.10939246826041016,0.017987633501967304,0.8457831325301204,0.07962080953183137,0.0655068379864312,0.02406854621589538,0.00890805355425716,2.004999158629473,1.3738347721725122,1.4617808296666108,0.4026847672834267,0.8292649760955014,2.5313,2.5313,0.0,0.020496859864478727,0.021513676053536424,0.011271415404998174,0.65,-0.05830721003134798,0.018459520666389038,0.043629411253904966,-0.028527476901395413,0.08263733830410214,0.3607711571568827,0.7147308946392845,0.2405882542968855,118272802.25,36.22,2026-04-13,False,False,True,True
44,000019,深粮控股,农业综合,96.15728328865059,0.8260341659462946,1.3955218372026676,1.3764905858473144,1.3871480866063124,0.6276615012972608,-0.047198225901602386,0.6977024036315619,0.040100250626566414,0.16409537166900434,0.06683804627249357,0.09354413702239794,0.08157414646859551,0.014669926650366927,0.8390804597701154,0.04248110502997138,0.03294240291894708,0.045884063238233574,0.0035056366483056404,1.991404122907276,1.3158910689710437,1.2554902954648752,0.11072064449124466,0.06978693328362769,17.645539999999972,17.611178875,0.0,0.041833231337512336,0.037702857525702994,0.023088950014294733,0.45,-0.10246433203631644,0.03270850211776757,0.04538436876510759,-0.03777884877670357,0.2247014322750649,0.16943105901486546,0.6914179104477619,0.21524875621890419,200233249.2,8.3,2026-04-13,False,False,True,True
56,000951,中国重汽,汽车整车,95.08489722966935,0.7870175709649704,0.8869482161394503,1.7738302614516779,1.2771763160768306,0.6874660045067889,-0.017172243335533494,-0.09274074307769295,0.07877551020408169,0.08142389525368232,0.17991071428571437,0.17885816235504004,0.14274596277320173,0.01798960109772792,0.9292929292929291,0.08195516354281507,0.06720280173811517,0.12174440223102412,0.009310844398108564,1.5412132715322264,1.1923170516478936,1.1786005790061234,0.3037130686979694,0.8862674571013688,4.7088,4.7088,0.0,0.02731581501812374,0.02719668184948218,0.008570033637291719,0.55,-0.042457091237579125,0.0292084572501341,0.04486115468475771,-0.03546953622398354,-0.008674231418931422,0.3607711571568827,0.6039643791270499,0.330324611698638,457200484.2,26.43,2026-04-13,False,False,True,True
69,000938,紫光股份,IT设备,93.923145665773,0.745347461132492,0.4240985532307818,0.923865393973232,0.6439959631574599,0.9550269157108648,0.5034534552263141,1.3432401843432942,0.06727135298563858,0.10226385636221691,0.12330946698488465,0.09457364341085261,0.09491315136476453,0.01729106628242061,0.9203354297693915,0.03861662531017385,0.02448821339950391,0.006307630281827459,0.002293069833392406,2.072430784117595,1.6164265118611856,1.3276350928924605,0.3359819590849326,0.8316908775610877,10.5613,10.5613,0.0,0.03108038759229587,0.033021054398520266,0.011075965704893451,0.55,-0.09600298841987298,0.033563279758652455,0.050753490439479965,-0.04043936403098346,0.10924060054826346,0.17115285891985263,0.5721630695906381,0.33040103297346385,2929586054.95,28.24,2026-04-13,False,False,True,True
72,300828,锐新科技,机械基件,93.6550491510277,0.7394075574787985,0.9204622035755216,0.9151709546130494,0.9181340540320339,1.1168179905611766,0.1783047912093002,0.14086410532697813,0.05951818611242321,0.1339737108190091,0.1098466105888174,0.10874938210578344,0.10215714215517657,0.015391579900407404,0.9642947330447331,0.03847476782467707,0.028804481352267788,0.008390453381782459,0.003265251231858274,1.9190159066285903,1.282197429762229,1.0517824362886878,0.1355592940651666,0.8856987457597253,15.7544,15.7544,0.0,0.033056828985716394,0.04271581908151759,0.021031205534550363,0.45,-0.12639405204460963,0.04356855557614898,0.05105364774250328,-0.0465625924426907,0.15621790261337387,0.16879592549878672,0.7312595499738352,0.09595133437990526,152723516.25,22.43,2026-04-13,False,False,True,True
106,002797,第一创业,证券,90.61662198391421,0.6552649636244571,1.4206826232197451,1.97478719660351,1.6644886355086017,0.7082280595324669,-1.7352539263549374,1.7097745999658858,0.01675257731958757,0.13199426111908186,0.057640750670241214,0.04641909814323597,0.05453087409783475,-0.031901840490797584,0.7886178861788613,0.020048115477145245,0.007751937984496181,0.029019392105625208,-0.000580842643899266,1.1377798219863204,1.4986792876970947,1.3628412712957383,0.1830157620718282,0.8007544109169343,6.8922,6.8922,0.0,0.038004639472051155,0.03094413210012306,0.013402928392220303,0.5,-0.09597924773022048,0.022969489412319098,0.04382590016890533,-0.03131205371495359,0.20759107809520927,0.10288525684479748,0.5946536306830422,0.4053463693169578,1583875366.9,7.89,2026-04-13,False,False,True,True
118,002299,圣农发展,农业综合,89.54423592493298,0.6284790912284839,0.3194276918862521,0.6695599161238216,0.47348587055078273,0.9234690430042737,0.8608723899448856,-0.4698705582533754,0.029654036243822013,0.053962900505902356,0.05159842961301209,0.01296596434359798,0.05024365652831464,-0.01832460732984298,0.913207547169811,0.025037808771634973,0.02134095110065535,0.001898704578403354,0.0017898889384442176,1.9220367864752537,1.113746462020812,0.9665254147250764,0.2575365602522238,0.7287585476058333,3.7873,3.7873,0.0,0.016712349025781243,0.022949829472653473,0.019852062002398,0.6,-0.11451612903225827,0.02479298043390071,0.033072792751004006,-0.028104905360742026,0.09286079353669663,0.03646306650332316,0.6436961987316563,0.24420503583624434,210823473.75,18.75,2026-04-13,False,False,True,True
119,301150,中一科技,电气设备,89.45487042001787,0.6239175383905973,0.2973631123049861,1.4923778083472665,0.8231695785635894,0.9735424789223069,-0.2749955252497209,0.4581226250747672,0.024938531787846996,0.07259694909024073,0.02511856666081158,0.14319294809010774,0.09796248565461951,-0.02505846976277981,0.9101258238466148,0.07677835681899392,0.07158579948450683,0.11036912728310888,0.010695185652879751,1.2363490848358147,1.1478525011221759,1.0949392611637796,0.45336100526827866,0.7014713210679491,13.3795,13.3795,0.0,0.01912457535863308,0.03956105211207589,0.022529013209279868,0.65,-0.15514018691588782,0.04525349510683956,0.07614989438010354,-0.057612054816145154,0.006779123429124123,0.22648944007007368,0.5929570532051741,0.4070429467948259,726251262.7,58.36,2026-04-13,False,False,True,True
