rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
1,002733,雄韬股份,制造业-电气机械和器材制造业,100.0,1.0105942892156619,1.3098807169499476,0.6174940648655984,0.2569461598056604,1.8725283617210065,0.06842737094837936,0.03971962616822422,0.21363636363636362,0.056484320902166374,0.8875607521028127,10.228,11.311250000000001,0.04546629618858291,0.55,-0.11351543100390216,1126982474.766,26.7,2026-03-26
2,002738,中矿资源,制造业-有色金属冶炼和压延加工业,96.0,0.6669319404410854,0.9649277923883722,0.9075368483185553,0.39009204979598155,-0.1596119903539911,-0.008574335125708488,-0.1099804305283758,-0.22114396620618793,-0.09637596693864592,1.326097193025783,5.969999999999999,3.971,0.033899709664403394,0.35,-0.3103296703296704,2083661081.53,68.22,2026-03-26
3,002705,新宝股份,制造业-电气机械和器材制造业,92.0,0.6378134652357349,1.2567816748783014,0.9044931380934,0.3254513863863565,-1.0407517767747134,0.08666494658953255,0.07496360989810769,0.018620689655172384,0.08332110899222522,1.5762066135135884,1.92,1.3111875,0.03939911636108442,0.5,-0.12923289564616458,122145538.0375,14.77,2026-03-26
4,002709,天赐材料,制造业-计算机、通信和其他电子设备制造业,88.0,0.6032022841632148,0.4294663805026131,1.0030339810088909,0.2488678774919944,0.8725577414103198,0.07567698259187616,-0.08513263417643435,0.04953998584571839,0.011078915970683667,1.1593399361437582,6.797999999999999,5.709999999999999,0.030563142086680525,0.45,-0.1522853043656487,3321320171.8586874,44.49,2026-03-26
5,002729,好利科技,制造业-计算机、通信和其他电子设备制造业,84.0,0.4385083582383282,0.8179947318549341,0.3039850733682969,0.10472294239268992,0.09579739117161551,0.03817991631799167,-0.0015090543259556055,0.09547461368653432,0.04122954259336975,0.9729536841325356,6.867999999999999,6.992999999999999,0.047050184854848805,0.6,-0.13424124513618663,236710929.62800002,19.85,2026-03-26
6,002708,光洋股份,制造业-汽车制造业,80.0,0.41633305174129887,0.8529378923338112,0.06779367427638872,1.1451378748363634,-1.1387873248573035,-0.06506024096385532,-0.10115830115830104,-0.1703492516037063,-0.0771792127482458,0.8031107880434392,1.6940000000000002,1.9425000000000001,0.02524711570920491,0.45,-0.17321688500727805,127921230.776,11.64,2026-03-26
7,002748,世龙实业,制造业-化学原料和化学制品制造业,76.0,0.3999999999999999,0.9999999999999999,0.19999999999999984,0.4999999999999999,-1.0000000000000002,-0.03728813559322042,-0.11801242236024856,-0.14586466165413547,-0.08471981629939984,0.6235218456504992,2.7079999999999997,3.8859999999999992,0.025965841535791328,0.35,-0.1837191934279313,117686213.171,11.36,2026-03-26
8,002725,跃岭股份,制造业-汽车制造业,72.0,0.008083628570252294,0.34142747046777855,-0.6061963045553211,0.034027568634930935,0.10837468529989985,-0.06649778340721968,-0.13750731421884144,-0.12884160756501195,-0.08829441781351477,0.6275518221037305,6.3,9.3175,0.03739582346965242,0.4,-0.18782014797951052,325799290.45,14.74,2026-03-26
9,002739,万达电影,文化、体育和娱乐业-广播、电视、电影和录音制作业,68.0,0.0,0.0,0.0,0.0,0.0,-0.03472931562819204,-0.061569016881827254,-0.1346153846153847,-0.059327095361337845,0.8247279435445779,1.652,1.8914999999999995,0.01317704024090105,0.3,-0.13619744058500916,402285912.974,9.45,2026-03-26
10,002730,电光科技,制造业-专用设备制造业,64.0,0.0,0.0,0.0,0.0,0.0,0.07781380268642879,0.12050264179043041,0.2679360372552141,0.10769327559195105,1.4455225721139795,10.62625,8.892999999999999,0.051841272515744455,0.6,-0.10015467904098996,637643374.2324998,23.27,2026-03-26
11,002728,特一药业,制造业-医药制造业,60.0,0.0,0.0,0.0,0.0,0.0,-0.0237442922374429,-0.04211469534050183,-0.13300892133008924,-0.03914430812098324,0.9359137870612948,4.7,4.753,0.022981295034169624,0.45,-0.17423014586709895,176390120.46649998,10.69,2026-03-26
12,002747,埃斯顿,制造业-通用设备制造业,56.00000000000001,0.0,0.0,0.0,0.0,0.0,-0.043333333333333335,-0.0872330758746025,-0.1625677365568987,-0.06906698176594595,0.7781895822651468,1.63025,1.9035,0.015755249797980736,0.3,-0.16715789473684206,323834909.47599995,20.09,2026-03-26
13,002718,友邦吊顶,制造业-其他制造业,52.0,0.0,0.0,0.0,0.0,0.0,0.04916897506925211,0.006644518272425293,-0.12033676876179411,-0.012482482156242813,1.190293424111954,2.412,1.9304999999999997,0.03723161123533704,0.23125,-0.19289489136817395,115305177.02993749,60.6,2026-03-26
