rank,code,name,industry,buy_signal_flag,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,up_prob_3d,expected_ret_3d,up_prob_3d_confidence,up_prob_3d_logit,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,money_flow_bias_20_proxy,real_moneyflow_ok,money_flow_net_amount_1,money_flow_net_amount_3,money_flow_net_amount_5,money_flow_net_amount_20,main_money_flow_net_amount_1,main_money_flow_net_amount_3,main_money_flow_net_amount_5,main_money_flow_net_amount_20,money_flow_net_ratio_1,money_flow_net_ratio_3,money_flow_net_ratio_5,money_flow_net_ratio_20,main_money_flow_net_ratio_1,main_money_flow_net_ratio_3,main_money_flow_net_ratio_5,main_money_flow_net_ratio_20,real_money_flow_bias_20,main_money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,market_up_ratio,market_median_change,market_down5_ratio,pass_market_env,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup,upside_model_candidate,tail_model_candidate
1,002921,联诚精密,汽车配件,-,81.83416603694623,0.8183416603694623,1.880093424933933,1.574757471056196,1.7823859196930574,1.1215176858129758,-0.1333700537845207,0.2316915825254109,0.8183416603694623,0.0069071578466868185,1.0,1.5051522590645021,0.08320126782884318,0.05968992248062022,0.1492223623371165,0.04750957854406135,0.10473573622110899,-0.02007168458781361,0.8939393939393941,0.048246322935186825,0.03423306933893659,-0.07789756073327048,0.0017408561001663369,1.8703933479610455,1.5340615808304452,1.9275260672234342,-0.017750536925372706,-0.0036197741371062444,1,19038000.0,52344500.0,26166200.0,-156830600.0,-6606700.0,43614600.0,62237700.0,191057700.0,0.02950905049615753,0.022272288723442505,0.007701042437581742,-0.017750536925372706,-0.010240437226229854,0.018557765644097383,0.018317339503538196,0.021624458228985805,-0.017750536925372706,0.016898887191207898,0.16582945774410987,10.3769,10.3769,0.0,0.04841981483216787,0.039328521835299286,0.0179497437227584,0.45,-0.11348872755063055,0.032747767335417614,0.059525242106497865,-0.04345875724384972,0.07118417535418342,0.08773859806463208,0.5399340001252491,0.349495978762858,191731391.5765,28.56,2026-07-02,,,,True,False,False,True,False,True,True
2,300562,乐心医疗,医疗保健,-,81.67236149995061,0.8167236149995061,1.3234263785403533,0.9047057839765954,1.189435788279951,1.4877938446252472,0.1294263320787277,0.7879369757723004,0.8167236149995061,0.02196480298396174,1.0,1.4943054310581803,0.03524904214559377,0.10195758564437196,0.14978723404255323,0.07307386814932482,0.10524808769992222,0.0008716418363355349,0.9358974358974358,0.04110933856914967,0.0367243424551071,-0.06819652929901499,0.004311305936949342,2.156838222354013,1.7348825169973112,1.7100837693066737,0.015085406384584723,0.1455899811713147,1,47637200.0,73208900.0,60908300.0,89146400.0,21393500.0,43987000.0,42717800.0,56188800.0,0.06825166745729973,0.041023416535929766,0.025512464680104305,0.016917267086271053,0.030651298727627604,0.02464860178429047,0.017893068164958795,0.010662920060227524,0.016917267086271053,0.010662920060227524,0.6238699020719171,15.80495,15.9327,0.0,0.0486781817718244,0.03817553713893363,0.020799613213925042,0.45,-0.08352490421455938,0.028046122079923106,0.04304541415451554,-0.03404583890976008,0.12816886443706454,0.12627884537758055,0.6487417236625765,0.21063327633742362,108122004.70475,14.89,2026-07-02,,,,True,False,False,True,False,True,True
3,300293,蓝英装备,专用机械,-,81.45356659767793,0.8145356659767794,1.9593857442740101,1.3390369726295968,1.7608741373477979,1.042959845057965,0.02791930925202786,-0.21752938385120577,0.8145356659767794,0.019029885573120416,1.0,1.4797556217376353,0.11011493055194696,0.08591248665955198,0.14261650758001143,0.025188916876574208,0.10357917570498909,-0.03141361256544506,0.9115281501340488,0.05162689804772236,0.037353579175705004,4.519365481092663e-05,0.0027636879617699375,1.908354970276267,1.949353406692593,1.7250932680009579,-0.009878942707109296,0.4839519524698403,1,-22019899.999999996,-92303000.0,-7147199.999999996,-89400800.0,-767200.0,-33430400.000000015,13027999.999999985,32808899.999999985,-0.052010613803613444,-0.048463313964914226,-0.0018742603932789482,-0.009878942707109296,-0.0018121128120532901,-0.01755249527288029,0.0034164238308201987,0.0036254400786489387,-0.009878942707109296,0.0036254400786489387,0.44750677181694376,6.3881,6.3881,0.0,0.036082970385200405,0.04390734289609333,0.04497243801926405,0.6,-0.1502946954813359,0.04086757032240289,0.05133627194202415,-0.04505505097025139,0.1418318821255471,0.04053404546720118,0.659485921889315,0.1729092204512915,226575483.77249998,19.45,2026-07-02,,,,True,False,False,True,False,True,True
4,603978,深圳新星,小金属,-,80.78967968082938,0.8078967968082937,2.0938490000363257,1.5060410308381476,1.9057504498929088,1.4398121424012504,0.360766950847854,0.6549166480911621,0.8078967968082937,0.017060079828474666,1.0,1.436401579399996,0.11011493055194696,0.08829639889196672,0.21586073500967107,0.11060070671378086,0.15029187329588112,0.0008716418363355349,0.9462534404758137,0.06465130748257031,0.05613116914011776,-0.01889310464517835,0.006520317482637348,2.036655560505353,1.949353406692593,1.7370242500219548,-0.006361081007836641,0.5168181550391527,1,-12479300.0,61072500.0,-27801400.0,-116685200.0,-1127300.0,-44158699.99999997,22720900.00000003,94965200.00000003,-0.008642708998555104,0.012722848008042294,-0.003265929585827914,-0.006361081007836641,-0.000780726952158468,-0.009199302932297464,0.0026691051359513385,0.0051770175662843995,-0.006361081007836641,0.0051770175662843995,0.12385814748988228,15.80495,15.9327,0.0,0.03958107147031233,0.038347150940985446,0.01813272835534144,0.6,-0.13451327433628324,0.034159983136963716,0.05910611214646773,-0.04413843474076532,0.06780169924532364,0.17870398428846776,0.564362609528232,0.27748913505661943,401000688.5,33.51,2026-07-02,,,,True,False,False,True,False,True,True
5,002338,奥普光电,电器仪表,-,80.7166316798487,0.807166316798487,1.7967844248767841,0.8213705901795726,1.4846519977736765,1.1955991136452195,0.8156577046457245,-0.0645456737528283,0.807166316798487,0.011792320774063506,1.0,1.4317016674035927,0.06915887850467306,0.0870391486126949,0.07076001497566464,0.05535055350553497,0.07541032920340673,0.0008716418363355349,0.9203860072376361,0.01761642444866407,0.017037357348323835,-0.06453063020963556,0.0023007753454590625,2.034998158832639,1.519064118294798,1.3189943740286667,-0.015817400664328376,0.11522857379544747,1,-9190900.0,95417599.99999999,32287499.999999985,-254245700.0,3945100.0,32426800.0,47180000.0,66676600.0,-0.008344441520998242,0.024916833862426786,0.005633727173393792,-0.015817400664328376,0.003581766338932005,0.008467758445927596,0.008232264747680039,0.004148154706786221,-0.015817400664328376,0.004148154706786221,0.8298569639909251,6.8815,6.8815,0.0,0.030160300001599773,0.028858159018199898,0.012991620194041712,0.5,-0.06543967280163587,0.02498534438340444,0.04566314021961328,-0.03325646271788797,0.11619044012561008,0.11924340330687752,0.564358885374383,0.3399181470760243,376986228.76400006,56.36,2026-07-02,,,,True,False,False,True,False,True,True
6,002517,恺英网络,互联网,-,80.28761235523751,0.8028761235523751,1.079556124970898,0.783024794666501,0.984666099273491,0.7807966953334184,0.690238863150072,0.7212608844117653,0.8028761235523751,0.015501202252682499,1.0,1.4043680894163435,0.011200995644057299,0.07758620689655182,0.08477970627503328,0.01749536825621134,0.07473028614656196,-0.007330482590103937,0.9462534404758137,0.051714523710931104,0.03737596826252654,-0.10104362775331632,0.0032684057517842822,1.3618314487583947,1.5014605282988898,1.5952508018172202,-0.0049999561841907346,0.009599270067009827,1,263899100.0,209257500.0,194968700.0,-207914000.0,257619700.00000003,136820600.00000003,268865700.00000006,-231118299.99999985,0.06260550926564697,0.022301231056302766,0.012696842337359623,-0.0049999561841907346,0.06111582993410434,0.014581402405466848,0.01750919713176439,-0.00555797768964403,-0.0049999561841907346,-0.00555797768964403,0.6483528613990278,7.4759,7.4759,0.0,0.025658398136044706,0.0246760590343927,0.010134779314233455,0.4,-0.08597027126674273,0.022381783131840412,0.03953357576560636,-0.02924250018534679,0.13335050515478775,0.04245133974120147,0.659485921889315,0.23928672303803866,950256580.482,16.47,2026-07-02,,,,True,False,False,True,False,True,True
7,002317,众生药业,中成药,-,79.85017218636004,0.7985017218636005,1.2782220995695286,1.6547110020807159,1.3986985483731087,0.7457261531500707,-0.42190966660027457,2.7603591586012173,0.7985017218636005,0.016686367157005482,1.0,1.3769562879040007,0.040660736975857814,0.07339449541284404,0.09687500000000004,0.06133909287257033,0.08678343949044609,-0.011267605633802913,0.8720682302771853,0.05104387827317769,0.03648266100495405,0.06671968878622137,0.00404075475312485,1.7012195839469137,1.4771613700209092,1.4521753158212227,0.003976790412440912,-0.12991700611033644,1,71903000.0,70424600.0,26597000.0,152386600.00000003,-103272300.0,-1942200.0000000596,155180199.99999994,367844499.9999999,0.01907946155388858,0.006697257051353052,0.0017672888501961065,0.003976790412440912,-0.0274033055287213,-0.000184699844161533,0.010311247029033415,0.009599534872942374,0.003976790412440912,0.009599534872942374,0.29585368106355914,10.8926,10.8926,0.0,0.05153774910083102,0.038524561187007096,0.014198402581176642,0.4,-0.09201918883558657,0.03411129149115313,0.05888604307568495,-0.04402119212496586,0.08462559692472305,0.11265796275382313,0.5845840598792454,0.2533469746035135,830352894.9465,26.49,2026-07-02,,,,True,False,False,True,False,True,True
8,600379,宝光股份,电气设备,-,79.85009774113252,0.7985009774113252,1.5094428044297936,1.804555456751958,1.6038788531728863,1.2864767192626605,-0.019614263915411836,1.2743716201684068,0.7985009774113252,0.020719951815355388,1.0,1.376951661015164,-0.006591957811469928,0.09759650400582665,0.22174133736883128,0.08573487031700289,0.15478864206821497,-0.04195804195804198,0.8366005723177845,0.12735570684190956,0.09535572429859922,-0.050252547921080026,0.00885080300253959,1.5138265682160017,1.5215917814288276,1.9275260672234342,-0.025809895357943254,0.20342725109598048,1,-33406400.0,-58204000.0,-153825400.0,-360660300.0,5466400.0,53033800.0,37303300.0,93466100.0,-0.033786979920522764,-0.01759412466751052,-0.02928045215258208,-0.025809895357943254,0.0055286755543113185,0.016031257109336464,0.007100631565290356,0.006688704746585804,-0.025809895357943254,0.006688704746585804,0.742963455153013,15.80495,15.9327,0.0,0.0568490004848035,0.047363999239795375,0.018127642171749683,0.5,-0.10676691729323307,0.036884326630056724,0.04664416375665687,-0.04078826148069678,0.10840342043233964,0.1196986356943081,0.5977285166940336,0.1949480021893817,318813740.05,15.01,2026-07-02,,,,True,False,False,True,False,True,True
9,000571,新大洲A,煤炭开采,-,79.73900864963214,0.7973900864963214,2.3615079811216355,2.7822019210833018,2.496130041909369,1.5220612097598947,-0.2563435321121677,0.25180758508693235,0.7973900864963214,0.018512376257653312,1.0,1.3700614805579074,0.006389776357827559,0.0806174957118353,0.2022900763358777,0.12701252236135963,0.09995635093845467,-0.069423929098966,0.7314285714285715,0.11462243561763419,0.08207769532955042,0.010973170157684287,0.007098059421797606,1.0320604477701558,1.4959100022924439,1.8606055802994848,-0.034015298121862325,0.11003965321267456,1,-15497900.0,7114500.0,-86658900.0,-315937300.0,6192700.0,11181300.000000015,27771600.000000015,156738600.0,-0.017982494512275352,0.003959290623340209,-0.03013710959193328,-0.034015298121862325,0.007185502149721419,0.006222505621864352,0.00965804727204401,0.016875216083075125,-0.034015298121862325,0.016875216083075125,0.5994631637087473,10.5916,10.5916,0.0,0.05256395473448325,0.05110588440812666,0.01625988046895773,0.5,-0.10327022375215145,0.046980278010158756,0.06439563267357284,-0.05394641987552439,0.037683685336164396,0.15004688604974303,0.600210378681627,0.14371561117704168,206494683.8535,6.97,2026-07-02,,,,True,False,False,True,False,True,True
10,300725,药石科技,化学制药,-,79.33569048841366,0.7933569048841366,0.8604807417163689,0.3426911299668892,0.6947880659565354,0.3158093957285913,0.37388499202102904,-0.16893478568318185,0.7933569048841366,0.01614865310698869,1.0,1.345280062619668,0.05810928013876837,0.06954997077732328,0.14018691588785037,0.04065965311344888,0.09528369643284673,-0.0032679738562090277,0.9462534404758137,0.05536270050275349,0.042231266459181384,-0.08670757205132762,0.003891251950801077,1.8621780619047446,1.7276880871726232,1.7235982508954715,-0.010078573139121152,0.24659488123842105,1,-33490800.0,-82266800.0,-34146699.99999999,-111821900.0,-21380300.000000015,30152199.999999985,27254099.999999993,-28035400.000000015,-0.034227831314477784,-0.026942990384119084,-0.0073150016885041086,-0.010078573139121152,-0.021850815801740472,0.009875070315850805,0.00583844961646835,-0.0025268469716980065,-0.010078573139121152,-0.0025268469716980065,0.8143658143341338,6.7757,6.7757,0.0,0.030215713580167582,0.028219174017874292,0.014323157207051152,0.55,-0.09420289855072461,0.021076646515676787,0.03911011445431907,-0.0282900336911337,0.09656162844010419,0.09566754289612198,0.6437286949854324,0.25924660441576525,243108551.04099998,36.79,2026-07-02,,,,True,False,False,True,False,True,True
11,603032,德新科技,专用机械,-,79.26872502182167,0.7926872502182167,1.6272608094178058,1.6047755357375675,1.6200655218401296,0.9707357583385401,-0.05657717318675548,1.3091274091628458,0.7926872502182167,0.016875166791751446,1.0,1.3412002341571887,0.06324110671936745,0.0700079554494828,0.1441939600170139,0.07986898076909221,0.09136422218635487,-0.008112094395280378,0.919720767888307,0.05363304275760772,0.04829387801263642,0.07089745027397432,0.005222421736863881,1.5530522808782823,1.3039601322631431,1.1922828900773206,-0.01793029953527768,0.08153297634771672,1,-19798100.0,-155775300.0,-185802700.0,-318651300.0,20158499.999999993,73666500.0,105602600.0,56605199.999999985,-0.020231124975871047,-0.044188510731341064,-0.033029837740524565,-0.01793029953527768,0.020599407661649166,0.02089684902414142,0.01877279901194934,0.003185137456694198,-0.01793029953527768,0.003185137456694198,0.7920773656938593,15.7265,15.7265,0.0,0.045692522621248816,0.04406736854112982,0.01602100701732175,0.45,-0.13306930693069308,0.04017189740639779,0.07191521352429767,-0.052869223853557745,0.06079211245561744,0.10506605578075678,0.5425165268708564,0.1897636416771431,445147776.1,25.94,2026-07-02,,,,True,False,False,True,False,True,True
