rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
1,300342,天银机电,制造业-通用设备制造业,100.0,2.173167140989059,2.3395950833644084,3.2930089838902363,0.5073058546075455,2.084104604994848,0.08248538644728298,0.17706226852164592,0.08108108108108114,0.12474552632466906,1.498545867290624,14.592000000000002,10.293,0.0320915549260395,0.6,-0.14131126670910255,0.041921930739761464,0.08378268374458031,1953863749.2849998,50.0,2026-03-27
2,600666,奥瑞德,制造业-非金属矿物制品业,99.9625748502994,2.1499076422731185,2.8766585484489995,3.238961328137269,-0.5954267657376153,2.057261626711495,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.8943056482227858,14.73879999999999,14.147499999999999,0.06893491813309009,0.6,-0.10655737704918022,0.05913164365931543,0.3010152141511293,1629175163.1,6.08,2026-03-27
3,603906,龙蟠科技,制造业-计算机、通信和其他电子设备制造业,99.92514970059881,2.0686234881976024,2.760812380377916,2.9671036064405394,1.333268563401047,-0.29420718829272385,0.16831397594705164,0.17706226852164592,0.19839572192513377,0.15259833664840208,1.8943056482227858,10.644,4.5125,0.034244856256446674,0.6,-0.06803797468354422,0.020525515801538798,0.30711710629093303,495217859.05,22.41,2026-03-27
4,603026,石大胜华,制造业-化学原料和化学制品制造业,99.8877245508982,2.01759568293805,2.3231217841133223,3.5710309915791845,0.31754792091255524,0.8805309147694276,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.748868920402712,10.924,6.7935,0.05298841386326243,0.6,-0.08600000000000008,0.036643998714918906,0.1086660682809657,1180398955.3,93.85,2026-03-27
5,300497,富祥药业,制造业-医药制造业,99.8502994011976,2.0017557573054487,2.4426896796755178,3.145246055913141,-0.3817452567639277,2.098116152064947,0.16831397594705164,0.17706226852164592,0.1697303921568627,0.15259833664840208,1.8943056482227858,14.73879999999999,8.552,0.06740301223273551,0.5,-0.11823273179838212,0.020537453616438522,0.3594028520499106,638465329.365,19.09,2026-03-27
6,600539,狮头股份,批发和零售业-零售业,99.812874251497,1.961952287241232,2.9441082042622084,3.4299216738413607,-0.5630080454275568,0.2628679744101325,0.16831397594705164,0.17535153019023997,0.21869639794168094,0.15259833664840208,1.7043757852454526,10.129999999999999,6.163,0.06077174646221744,0.55,-0.15317460317460319,0.0366753162640971,0.2590583265296952,173693540.1,14.21,2026-03-27
7,600844,金煤科技,制造业-化学原料和化学制品制造业,99.77544910179641,1.8870532908851338,2.711973455060999,2.5202658809998724,-0.18094659269093544,1.3892450476596887,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.1317999191074934,14.73879999999999,14.831199999999978,0.05510878607304939,0.6,-0.1223021582733812,0.046559743646241,0.24412192309620506,523098638.2,4.99,2026-03-27
8,002192,融捷股份,采矿业-有色金属矿采选业,99.73802395209582,1.8797346364150727,2.22810562068874,3.102214296954947,1.0221857638746688,0.0566777408393741,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.8943056482227858,12.77,6.779000000000001,0.05812720180901437,0.6,-0.10472279260780282,0.02443201100988612,0.5800698424756198,1069816515.8355,78.0,2026-03-27
9,300668,杰恩设计,租赁和商务服务业-商务服务业,99.7005988023952,1.878882522697471,2.9744864463367406,2.819432090945301,-0.13346354550732634,0.07281753685276476,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.8943056482227858,12.845999999999998,6.204499999999999,0.07011449777147336,0.55,-0.07878077373974213,0.029222232311778177,0.29647172202892524,199421732.025,39.29,2026-03-27
10,600758,辽宁能源,采矿业-煤炭开采和洗选业,99.66317365269461,1.8650565045727516,2.765151057783805,2.8202108801514836,-0.31680833410664877,0.782033521617922,0.16831397594705164,0.17706226852164592,0.2542497813684254,0.15259833664840208,1.8943056482227858,14.73879999999999,7.4815,0.06215695190898659,0.6,-0.09934853420195433,0.019547346544673393,0.22169007598434276,487510306.35,5.53,2026-03-27
