rank,code,name,industry,score_100,score_raw,leadership_score,trend_score,cluster_score,stability_score,liquidity_score,sector_rank_20,sector_rank_60,ret_20,ret_60,ma_bull_20_60,ma_alignment_20,trend_slope_60,trend_slope_20,trend_eff_20,trend_eff_60,amount_ratio_5_20,amount_ratio_20_60,money_flow_bias_20,money_flow_bias_60,pv_sync_20,vol_20,vol_60,max_drawdown_20,max_drawdown_60,chip_tightness,win_rate_20,win_rate_60,avg_amount_20,close,trade_date
1,300745,欣锐科技,汽车配件,100.0,1.7480778026181305,2.0922628390191615,3.3744862513267697,1.1837935679946607,-0.0958550195898773,-0.11979143568050844,100.0,99.55555555555556,0.8722385861561119,0.9625627170976458,0.2735645084091174,0.25323930667038613,0.010711639110794233,0.03693224597996136,0.9841204340634784,0.48049682453115156,1.3683698799721666,1.907416954135618,0.6774566854661499,0.4499286587028627,0.6395719956108612,0.05050719301590276,0.04430553665245143,-0.024630541871921263,-0.20843499477169747,-0.06281470766676758,0.75,0.6,458828277.2,50.85,20260520
2,002281,光迅科技,通信设备,99.86130374479889,1.3565803213073704,1.5058480790474222,2.0777748764743227,1.0521619291527922,0.6117084809318252,0.9550905366453187,100.0,100.0,0.9094118951361179,1.8148295907428569,0.4177605318384922,0.25323930667038613,0.01819775299285329,0.03693224597996136,0.9841204340634784,0.6808035738713692,1.31732063331728,1.6156263956971175,0.5980150629171757,0.4151394125760316,0.4513273562634774,0.0431309723043261,0.04754047068363851,-0.035868498527968584,-0.20046549281521953,-0.05815082516498893,0.75,0.6333333333333333,6498508819.061252,236.4,20260520
3,603115,海星股份,铝,99.72260748959778,1.3272353212668142,1.5588873898752296,2.1282041852026263,0.8694044533101464,0.5508347233802615,-0.055362029812476475,100.0,100.0,0.9094118951361179,1.8148295907428569,0.4177605318384922,0.23116987303105593,0.01819775299285329,0.03149754080970641,0.9841204340634784,0.6808035738713692,1.2266955539692352,1.2272491415569178,0.5479824611434847,0.37147036124314947,0.34416461070121984,0.051294781719157675,0.052005434946342396,-0.029512111907198824,-0.12123799359658483,-0.06242953100004555,0.75,0.6333333333333333,626381964.55,97.55,20260520
4,001259,利仁科技,家用电器,99.58391123439667,1.2749444830840724,1.6136323675021742,2.083718744008713,0.8622505271983377,0.2718122751582873,-0.543951471333441,100.0,100.0,0.9094118951361179,1.4010137149672035,0.19464039623954488,0.25323930667038613,0.007680161458795366,0.03693224597996136,0.9841204340634784,0.6808035738713692,2.3633570633265655,1.690725504644449,0.6774566854661499,0.4499286587028627,0.3098262151202505,0.04407531124709718,0.04231031706420081,-0.014155394778232133,-0.19678714859437751,-0.03913808589848597,0.75,0.6,119654854.7,80.53,20260520
5,001211,双枪科技,家居用品,99.44521497919555,1.2662589996958027,1.3483300164432903,1.8187943703117742,0.9718549395395883,0.820488336499875,0.9498994761644913,100.0,100.0,0.8647798742138364,1.0590277777777777,0.32357868542485124,0.25323930667038613,0.013040740381726406,0.03693224597996136,0.9841204340634784,0.6375351950104526,1.3575485142696408,1.9708765581610663,0.5941811241027769,0.4499286587028627,0.48289157347055994,0.04062191313899298,0.03616235867707713,-0.02418956722066823,-0.1386712095400341,-0.05442252065351747,0.75,0.5833333333333334,325247001.9,59.3,20260520
6,300489,光智科技,专用机械,99.30651872399446,1.263944219089985,1.8469512960950032,2.242618094768794,0.549005611672969,0.059764518255216774,0.2279818794395753,100.0,100.0,0.8894529046813311,1.8148295907428569,0.4177605318384922,0.16113093705161688,0.01819775299285329,0.026785212912712963,0.859541298610956,0.6808035738713692,0.904464314504908,1.9863166205134684,0.3201483214252718,0.3738629974714082,0.768202984018765,0.06044717493896054,0.05048392948932908,-0.074288518155054,-0.1196986006458558,-0.07730539902276669,0.65,0.6166666666666667,1502079497.9,134.0,20260520
7,301502,华阳智能,电气设备,99.16782246879335,1.2569665371929253,1.3300404609823393,1.428727011706818,1.4730366002346316,0.6625674795643053,-1.049295761027858,99.63898916967509,96.028880866426,0.9094118951361179,0.880685424159086,0.20934257789658317,0.25323930667038613,0.007940016380699962,0.03693224597996136,0.9841204340634784,0.49908535345893285,1.549405262020988,1.9404525357097242,0.6774566854661499,0.4499286587028627,0.5967167886775413,0.042309688010427546,0.03743854060384767,-0.04839710444674261,-0.17525773195876293,-0.05312076915093541,0.75,0.6,174647498.0,88.9,20260520
8,300209,行云科技,互联网,99.02912621359224,1.192349354334811,1.5742665610256248,2.308687805856004,0.6896887592415007,-0.14762377623626405,2.725563952477925,100.0,100.0,0.9094118951361179,1.8148295907428569,0.4177605318384922,0.25323930667038613,0.01819775299285329,0.03693224597996136,0.9841204340634784,0.6808035738713692,1.1768326791794876,1.762895377315222,0.4493337944980864,0.37948172259596613,0.7291887709580488,0.06684687428007345,0.06478674089181088,-0.04354136429608124,-0.1696588868940755,-0.07730539902276669,0.65,0.6,2332048737.9,28.31,20260520
9,300632,光莆股份,半导体,98.89042995839112,1.167094403172434,1.6604361043461617,2.0052694164590585,1.0140267851935876,-0.42930239272287996,-0.7410255272033288,100.0,98.7012987012987,0.9094118951361179,1.7904829545454546,0.3704994087967435,0.25323930667038613,0.01613700529965369,0.03693224597996136,0.7954986642306214,0.6619979506118926,1.673144903231574,2.145779749169403,0.5533815593700082,0.4499286587028627,0.40934941622784277,0.08704886386151447,0.06311998857932716,-0.06983901515151525,-0.1455368693402328,-0.07730539902276669,0.7,0.5833333333333334,1424643714.0,39.29,20260520
10,301511,德福科技,电气设备,98.75173370319001,1.1480803161915436,1.723175762945617,2.238524886252944,0.5486512242530599,-0.3283322015932123,2.236939465667302,100.0,100.0,0.9094118951361179,1.8148295907428569,0.4177605318384922,0.19100830873177688,0.01819775299285329,0.03329488160246004,0.9779634244173426,0.6808035738713692,1.0114125403637066,1.6465196738379566,0.48212168678458395,0.4499286587028627,0.4405312099774447,0.06560110391939047,0.053296298146349244,-0.1022905246671888,-0.15994130594277323,-0.07730539902276669,0.75,0.6333333333333333,3647417395.55,109.6,20260520
11,301188,力诺药包,玻璃,98.6130374479889,1.0873244066856154,1.1585670774157348,1.248346702160018,1.4412564182385263,0.33676751680629485,-1.165321139657899,100.0,94.73684210526315,0.6093375897845172,1.1578384162653825,0.33977781824804243,0.20474994290933987,0.015040601182798855,0.026228589776074583,0.6092418816888657,0.4496718301168504,1.3469760037307674,1.7089560624125697,0.5419472819551485,0.38758740454504964,0.7894384814465166,0.06122182697377588,0.05766140803317628,-0.09666080843585234,-0.15173172072567354,-0.07730539902276669,0.7,0.6,850364060.85,40.33,20260520
12,603045,福达合金,小金属,98.47434119278779,1.0757184252023237,1.3432952411428365,1.690797747230691,0.6995459988105432,0.37571958174582176,-0.9774534055006221,100.0,98.18181818181819,0.845941468801767,1.3895639742673338,0.40133817920299997,0.25323930667038613,0.015799091284715773,0.03693224597996136,0.8142377190493962,0.5779798334439812,1.6815938449363605,1.7756413497017918,0.37370722410771356,0.28063462636875947,0.19337361897127223,0.05500532120846535,0.047852272854557766,-0.13292698742056797,-0.19439679817038302,-0.043244833974506805,0.7,0.5833333333333334,652432155.9,66.86,20260520
13,301319,唯特偶,元器件,98.3356449375867,1.0537444800123086,1.5779201947215207,1.8304461029383332,0.9421709515420542,-0.5639292101212221,-0.5755562157184544,100.0,98.35390946502058,0.9094118951361179,1.8148295907428569,0.4177605318384922,0.24427101334552287,0.01819775299285329,0.033113622583433935,0.7973585285865029,0.6808035738713692,1.3819940807814108,2.168190959237334,0.5940812178294201,0.4499286587028627,0.24801336500868457,0.0641990949782924,0.05527510353411634,-0.14627285513361465,-0.20550195031820973,-0.07730539902276669,0.75,0.6333333333333333,902023674.15,133.91,20260520
