rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
1,300432,富临精工,制造业-汽车制造业,100.0,2.600156974559032,3.6943655667937714,2.3170943099279953,1.436825433285332,1.7051472246830535,0.12172950243037989,0.15941289865051597,0.2354211663066954,0.15522902120386278,1.6983404066048542,7.156000000000001,4.036,0.027718601140884556,0.65,-0.09571508069003887,1344863887.025,22.79,2026-03-24
2,600666,奥瑞德,制造业-非金属矿物制品业,99.93324432576769,2.5670129420787298,3.7871737155445118,3.3926473803704704,0.30573759029082503,0.9522272847342839,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.5471098918803412,14.006399999999989,10.484,0.07129108630715904,0.65,-0.10655737704918022,1089585143.4,5.28,2026-03-24
3,603538,美诺华,制造业-医药制造业,99.86648865153538,2.358224744752523,3.2856391937833846,3.190846444140819,-0.2893205978422637,2.0274771718161135,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.6983404066048542,12.612,8.056999999999999,0.05814877957012502,0.55,-0.09204647006255584,446253227.5,32.38,2026-03-24
4,601218,吉鑫科技,制造业-金属制品业,99.79973297730307,2.291135109062157,2.9180290097816184,3.0054333918371716,0.9233619878896048,1.252618397415303,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.6983404066048542,14.006399999999989,13.105500000000001,0.052248068323795374,0.65,-0.06380027739251037,870667723.8,7.69,2026-03-24
5,002902,铭普光磁,制造业-计算机、通信和其他电子设备制造业,99.73297730307075,2.2108519104574436,2.8171438121843644,3.3713274481998465,0.7237268029511139,0.6427810862900878,0.12172950243037989,0.15941289865051597,0.2188821042743072,0.15522902120386278,1.6983404066048542,14.006399999999989,11.766499999999999,0.05431349101287387,0.65,-0.07169042769857437,481484438.8675,25.95,2026-03-24
6,300342,天银机电,制造业-通用设备制造业,99.66622162883844,2.182721388600207,2.39401290348011,3.1107993030171732,0.982961467723338,1.67216071939468,0.030471530249110312,0.08577454886336988,0.012235088485907708,0.05409248620670026,1.4801631553393244,13.3,9.3385,0.0321146178733281,0.65,-0.14131126670910255,1747040801.3630002,46.26,2026-03-24
7,603803,瑞斯康达,制造业-计算机、通信和其他电子设备制造业,99.59946595460613,2.154610769275972,2.9790913908361984,3.3713274481998465,-0.23099482566491036,1.1089421068300878,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.6983404066048542,14.006399999999989,14.008500000000002,0.06656094313184248,0.55,-0.13163636363636366,797392676.75,15.32,2026-03-24
8,301292,海科新源,制造业-化学原料和化学制品制造业,99.53271028037383,2.1301745263410448,2.7829997916488116,3.1860222787542085,-0.16280855760818894,1.686871676764038,0.06689917564996817,0.07063315303849826,0.129573682443773,0.10593474492017707,1.2294564955812246,14.006399999999989,14.521025,0.050590020330371764,0.5,-0.13584905660377367,951404437.5754999,67.31,2026-03-24
9,603529,爱玛科技,制造业-铁路、船舶、航空航天和其他运输设备制造业,99.46595460614152,2.1167790396793387,3.5394963519622986,2.238537583229881,1.2556715720848222,-0.7319214088667703,0.09895833333333326,0.1227385597729691,0.075798776342624,0.09154868858960863,1.6983404066048542,2.978,1.1885,0.03341022169818765,0.45,-0.04982935153583623,304162053.3,31.32,2026-03-24
10,600815,厦工股份,制造业-专用设备制造业,99.39919893190921,2.043323840301634,2.882771507393772,2.7358008794298168,1.2012381034416082,-0.22655068801100398,0.12172950243037989,0.15941289865051597,0.30792682926829285,0.15522902120386278,1.6983404066048542,9.809999999999999,4.357,0.03805005417802331,0.65,-0.045592705167173175,272133630.75,4.29,2026-03-24
