rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used
1,600539,狮头股份,批发和零售业-零售业,100.0,2.4167918200851344,2.6175300566468067,3.7212234799195967,3.081081294421378,2.7722808688738434,-0.2460431620329784,2.633399566843582,0.1276215,0.15595208333333316,0.22340999999999991,0.2923,0.21964525615804634,0.156005,0.8922,0.21964525615804634,0.1096125,0.04362374999999993,1.4995,1.44955,1.3996,15.713999999999997,15.713999999999997,0.0,0.07,0.07,0.035,0.719225,-0.07,0.07,0.07,-0.11932500000000001,0.9260745581095421,0.6998,0.0,835330042.0,20.59,2026-05-07,True
2,000060,中金岭南,制造业-有色金属冶炼和压延加工业,99.96220710506425,2.156680490118026,3.059538120807442,2.261200614571557,2.72423636818837,3.3705452162313656,0.10986503724272245,-0.44042436836687293,0.1276215,0.15595208333333316,0.17612809315866085,0.348914858096828,0.2161348585189644,0.08748317631224767,0.9272051773729619,0.2161348585189644,0.049729078868151436,0.007801713796834021,1.5034249999999998,1.45315,1.4016,6.072,3.2095,0.005977496483825199,0.04478887568827592,0.03523067046223042,0.014790554955401538,0.65,-0.06986899563318782,0.0239112361494219,0.031205418143666227,0.12946603000948897,0.6298366674922413,0.6621985999481464,0.18542044767090102,989609560.15,8.08,2026-05-07,False
3,301316,慧博云通,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.9244142101285,2.1048340776475736,2.15510008734446,2.978486004978307,2.5009221727506756,3.4409199032399878,0.30743377374759007,-0.12871817040940498,0.1276215,0.15595208333333316,0.22340999999999991,0.3603990035906636,0.21964525615804634,-0.015189873417721489,0.9272051773729619,0.21964525615804634,0.0871714464302741,0.013828736539253657,1.5034249999999998,1.45315,1.4016,6.176,3.6759999999999997,0.005977496483825199,0.04451051933451313,0.034578009882083774,0.010526040213709247,0.7,-0.0521472392638036,0.019455506540970106,0.0447476250881173,0.021615626827788503,0.8483904612277522,0.5966273714958045,0.28231999692524806,706457947.358,58.35,2026-05-07,False
4,002317,众生药业,制造业-医药制造业,99.88662131519274,2.039750846855811,3.3050122417520122,1.1220777530203627,2.3881797564847194,4.313766560568469,-2.2944083082534115,3.1420643323733737,0.101025,0.10184166666666666,0.10388333333333333,0.008166666666666668,0.10388333333333333,0.10225,0.6079666666666667,0.10388333333333333,0.0030625,0.001225,1.499,1.4491,1.3992,11.39,11.39,0.0,0.0998,0.0998,0.0499,0.506125,-0.0998,0.0998,0.0998,0.093675,0.19710377958886743,0.6996,0.0,1722803898.62,20.49,2026-05-07,True
5,000889,中嘉博创,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.848828420257,2.029419769427882,2.479857647646137,2.461502817247031,2.4721486188785127,2.4811341355239698,1.1080417556326507,-0.18592814185054363,0.12615,0.14305,0.18530000000000002,0.169,0.18530000000000002,0.1515,0.7698,0.18530000000000002,0.063375,0.02535,1.5034249999999998,1.45315,1.4016,5.61,5.61,0.0,0.0165,0.0165,0.00825,0.62675,-0.0165,0.0165,0.0165,-0.02595,0.9374460356452999,0.7001999999999999,0.0,260244939.28,5.35,2026-05-07,True
6,601208,东材科技,制造业-化学原料和化学制品制造业,99.81103552532123,2.029222480594904,2.5081478091919887,3.1932135363368257,2.79587541459282,2.259319749770462,-1.0306922306678497,2.694122469443002,0.1276215,0.15595208333333316,0.22340999999999991,0.2492333333333333,0.21964525615804634,0.156005,0.8493333333333333,0.21964525615804634,0.09346249999999999,0.037384999999999995,1.5005,1.45045,1.4003999999999999,8.7,8.7,0.0,0.0901,0.0901,0.04505,0.686925,-0.0901,0.0901,0.0901,-0.08682499999999999,0.8924564324511144,0.7001999999999999,0.0,3871057631.0,45.16,2026-05-07,True
7,002903,宇环数控,制造业-通用设备制造业,99.77324263038548,1.9521260418759254,2.1191504497272278,3.138856421239606,2.5474269577624264,2.371161689611914,0.16008913709856482,0.6326678731120526,0.1276215,0.15595208333333316,0.22340999999999991,0.3603990035906636,0.21964525615804634,0.156005,0.9272051773729619,0.21964525615804634,0.11832499999999976,0.04362374999999993,1.5,1.45,1.4,11.66,11.66,0.0,0.058600000000000006,0.058600000000000006,0.029300000000000003,0.7406249999999999,-0.058600000000000006,0.058600000000000006,0.058600000000000006,-0.17434999999999995,0.9374460356452999,0.7,0.0,554477239.06,45.22,2026-05-07,True
8,000338,潍柴动力,制造业-汽车制造业,99.73544973544973,1.9517770488855999,1.8364874540321705,2.862144978296825,2.2672636142233253,2.03422849444253,0.8441916903601825,1.943117904216229,0.1276215,0.15595208333333316,0.22340999999999991,0.3603990035906636,0.21964525615804634,0.019813519813519864,0.9272051773729619,0.21964525615804634,0.11073458293621381,0.01552860229574252,1.5034249999999998,1.45315,1.207515630266633,2.644,2.492,0.005977496483825199,0.02869415906300189,0.03330364336811396,0.016846769815334766,0.7406249999999999,-0.03795620437956204,0.030897267956465954,0.05025376268145621,-0.0016328482429015523,0.6793930294456532,0.6161338816595554,0.29566736057646936,3563469168.847,35.0,2026-05-07,False
9,002491,通鼎互联,制造业-电气机械和器材制造业,99.69765684051399,1.9130081633662912,1.8741543105997824,2.6817613671235185,2.2133492743397514,2.3067922243406076,1.3926649928651378,-0.02047280149054148,0.1276215,0.15595208333333316,0.22340999999999991,0.3603990035906636,0.21964525615804634,0.156005,0.9272051773729619,0.21964525615804634,0.11832499999999976,0.04362374999999993,1.501,1.4508999999999999,1.4008,4.5,4.5,0.0,0.013500000000000002,0.013500000000000002,0.006750000000000001,0.7406249999999999,-0.013500000000000002,0.013500000000000002,0.013500000000000002,-0.2748,0.9374460356452999,0.7001999999999999,0.0,994719552.48,18.78,2026-05-07,True
10,002929,润建股份,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.65986394557824,1.8834247212039712,2.495386737579458,2.5445435565036623,2.5160326015276233,2.3535841484170104,0.35344193962446685,-0.38932515296073944,0.12677,0.14454999999999998,0.189,0.17779999999999999,0.189,0.15344,0.7778999999999999,0.189,0.066675,0.02667,1.5005,1.45045,1.4003999999999999,3.03,3.03,0.0,0.0374,0.0374,0.0187,0.63335,-0.0374,0.0374,0.0374,-0.03325,0.9344779240811529,0.7001999999999999,0.0,453632376.4,71.12,2026-05-07,True
