rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used
1,000783,长江证券,金融业-资本市场服务,100.0,2.291614184914836,4.08242124464825,2.2314164184634016,3.3049992176506136,3.8884000044863054,-2.7029564400070623,1.9229525535594134,0.09975999999999999,0.09953333333333333,0.09896666666666666,-0.002266666666666667,0.09896666666666666,0.09942,0.5978333333333333,0.09896666666666666,-0.0008500000000000001,-0.00034,1.5005,1.45045,1.4003999999999999,4.97,4.97,0.0,0.0851,0.0851,0.04255,0.4983,-0.0851,0.0851,0.0851,0.1018,-0.07399347035915703,0.7001999999999999,0.0,2325479691.34,8.79,2026-05-06,True
2,300254,仟源医药,制造业-医药制造业,99.96455157745481,2.2776728778847004,2.9892477666672748,2.971868389981783,2.9819484284593685,3.7657542017451453,-1.461310439879932,1.6606974660740217,0.10757,0.12101666666666668,0.15463333333333334,0.13446666666666668,0.15463333333333334,0.12774000000000002,0.7218666666666668,0.15463333333333334,0.050425000000000005,0.02017,1.437,1.3933,1.3496000000000001,13.27,13.27,0.0,0.0815,0.0815,0.04075,0.60085,-0.0815,0.0815,0.0815,-0.013450000000000004,0.831924106347857,0.6748000000000001,0.0,433771129.74,14.68,2026-05-06,True
3,000815,美利云,制造业-造纸和纸制品业,99.9291031549096,1.9357809604896827,2.1852578864030314,1.9372747668843235,2.081104976205174,2.5543688500646984,1.055333122796672,1.2580604946118026,0.12245262499999995,0.13865,0.1774,0.155,0.1774,0.14400474999999993,0.7549,0.1774,0.058125,0.02325,1.4995,1.44955,1.3996,11.79,11.79,0.0,0.0216,0.0216,0.0108,0.61625,-0.0216,0.0216,0.0216,-0.016350000000000003,0.9303427134604989,0.6998,0.0,1709642840.38,20.92,2026-05-06,True
4,002283,天润工业,制造业-汽车制造业,99.89365473236441,1.9070116777051584,2.3294746130550124,3.35741645488171,2.7612101866222254,2.4352037718776596,-0.7518594896226846,0.3768671970635695,0.12245262499999995,0.1395129166666665,0.1931170833333333,0.2607,0.19012749999999992,0.14400474999999993,0.8561568279569892,0.19012749999999992,0.09776249999999999,0.03860599999999999,1.4985,1.44865,1.3988,5.95,5.95,0.0,0.0757,0.0757,0.03785,0.695525,-0.0757,0.0757,0.0757,-0.095825,0.9117509898440768,0.6994,0.0,724185803.66,12.35,2026-05-06,True
5,002428,云南锗业,制造业-有色金属冶炼和压延加工业,99.85820630981921,1.8822235293497618,1.822863541492191,2.768254066476719,2.219927561985693,2.262475928427702,0.10193568662426006,2.4048063546368854,0.12245262499999995,0.1395129166666665,0.1931170833333333,0.27503249999999996,0.19012749999999992,0.14400474999999993,0.8561568279569892,0.19012749999999992,0.09897562499999996,0.03860599999999999,1.5,1.45,1.4,15.039499999999999,15.05475,0.0,0.051100000000000007,0.051100000000000007,0.025550000000000003,0.6971193749999999,-0.051100000000000007,0.051100000000000007,0.051100000000000007,-0.13372499999999998,0.9303427134604989,0.7,0.0,4775420181.949988,77.01,2026-05-06,True
6,300209,行云科技,批发和零售业-零售业,99.82275788727402,1.866843899062134,1.7333946056769225,3.13823557539037,2.32342781295657,2.37067518266529,-1.344977482767181,4.310932230538706,0.12245262499999995,0.1395129166666665,0.1931170833333333,0.27503249999999996,0.19012749999999992,0.14400474999999993,0.8561568279569892,0.19012749999999992,0.09897562499999996,0.03860599999999999,1.50595,1.45291375,1.40099,15.039499999999999,15.05475,0.0,0.1826,0.1826,0.0913,0.6971193749999999,-0.1826,0.1826,0.1826,-0.17869999999999997,0.8914774748059684,0.7001999999999999,0.0,2788973645.7,20.9,2026-05-06,True
7,603045,福达合金,制造业-电气机械和器材制造业,99.78730946472882,1.8159009375397028,1.873143418631756,2.3724359957110432,2.0828463010050564,2.2539000945707985,1.264820329939608,0.06294111950134632,0.12245262499999995,0.1395129166666665,0.1931170833333333,0.26099999999999995,0.19012749999999992,0.14400474999999993,0.8561568279569892,0.19012749999999992,0.09787499999999999,0.03860599999999999,1.5,1.45,1.4,6.97,6.97,0.0,0.0178,0.0178,0.0089,0.69575,-0.0178,0.0178,0.0178,-0.09574999999999995,0.9303427134604989,0.7,0.0,483752534.0,51.35,2026-05-06,True
8,603156,养元饮品,制造业-酒、饮料和精制茶制造业,99.75186104218362,1.814117306397782,3.0088406926869844,2.744384549639529,2.897769112607053,2.857130577851726,-1.8974289678040748,-0.35979190903496155,0.11594499999999999,0.12650833333333333,0.15291666666666667,0.10563333333333334,0.15291666666666667,0.13179,0.7057333333333333,0.15291666666666667,0.0396125,0.015845,1.5005,1.45045,1.4003999999999999,1.18,1.18525,0.0,0.0823,0.0823,0.04115,0.579225,-0.0823,0.0823,0.0823,0.02087499999999999,0.7938376733621301,0.7001999999999999,0.0,595004678.0,41.31,2026-05-06,True
9,300745,欣锐科技,制造业-汽车制造业,99.71641261963843,1.8015268155530395,2.8002936128471436,2.343313113753595,2.6083618032278535,2.912730371598709,-2.151541520878533,1.8710853438529418,0.12245262499999995,0.1395129166666665,0.1931170833333333,0.12723333333333334,0.19012749999999992,0.14400474999999993,0.8004333333333333,0.19012749999999992,0.047712500000000005,0.019085,1.50595,1.45291375,1.40099,15.039499999999999,15.05475,0.0,0.12539999999999998,0.12539999999999998,0.06269999999999999,0.595425,-0.12539999999999998,0.12539999999999998,0.12539999999999998,0.07777499999999998,0.7527114952618588,0.7001999999999999,0.0,920535162.1,39.49,2026-05-06,True
10,300113,顺网科技,信息传输、软件和信息技术服务业-互联网和相关服务,99.68096419709323,1.7731384057657322,2.164632386661625,2.3802869311168506,2.25520729533282,2.362887048771616,-0.5442619258238092,1.911714568910761,0.090705,0.094975,0.10565,0.042699999999999995,0.10565,0.09711,0.627,0.10565,0.0160125,0.006404999999999999,1.4215,1.37935,1.3372,13.06,13.06,0.0,0.056600000000000004,0.056600000000000004,0.028300000000000002,0.532025,-0.056600000000000004,0.056600000000000004,0.056600000000000004,0.05227500000000001,0.6935571158984455,0.6686,0.0,1814323124.98,27.39,2026-05-06,True
11,603026,石大胜华,制造业-化学原料和化学制品制造业,99.64551577454803,1.7454981687602593,1.6505569878397734,3.206528558974837,2.3040650477165,1.1706984306684443,0.02330484950829276,3.0214606692152595,0.08623,0.11191666666666666,0.17613333333333334,0.2568666666666667,0.17613333333333334,0.12476,0.8045666666666667,0.17613333333333334,0.09632500000000001,0.03853,1.2385,1.21465,1.1907999999999999,11.54,11.54,0.0,0.0545,0.0545,0.02725,0.69265,-0.0545,0.0545,0.0545,-0.14495000000000002,0.9303427134604989,0.5953999999999999,0.006800000000000007,3213207751.0,120.4,2026-05-06,True
12,000593,德龙汇能,电力、热力、燃气及水生产和供应业-燃气生产和供应业,99.61006735200284,1.7336742430634455,2.0714123679244265,2.968080989181211,2.4480131888522756,2.2047228251494944,-1.1879533429041242,1.8646395134969083,0.061320754716981174,0.1395129166666665,0.1931170833333333,0.27503249999999996,0.19012749999999992,-0.031563845050215145,0.8561568279569892,0.19012749999999992,0.09897562499999996,0.025796173228093463,1.50595,1.45291375,1.40099,14.846,10.3595,0.0,0.05693519720957822,0.054742722309319716,0.020023155922995955,0.65,-0.08566721581548609,0.050962047975613566,0.07615023570929348,0.04536427012395183,0.5942954955469013,0.7001999999999999,0.17471675796812755,770162373.568,27.0,2026-05-06,False
