rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
1,301217,铜冠铜箔,元器件,100.0,104.55548320812501,99.87168874172185,99.83443708609272,99.89652317880795,103.55,436.98,178.17,10312928109.0,20260616
2,000636,风华高科,元器件,99.60317460317461,104.44320472214224,99.66059602649007,99.89652317880795,99.50331125827815,118.13,235.76,70.61,12685111799.4,20260616
3,301526,国际复材,玻璃,99.20634920634922,104.40058699578567,99.85513245033113,99.85513245033113,99.85513245033113,106.84,391.49,38.68,8094026415.93,20260616
4,301511,德福科技,电气设备,98.80952380952381,104.24930633719865,99.74337748344371,99.4205298013245,99.95860927152319,68.97,456.16,169.63,6993324315.379999,20260616
5,002636,金安国纪,元器件,98.4126984126984,104.13766589011334,99.80960264900662,99.95860927152319,99.71026490066225,130.24,279.26,101.49,5959603317.490001,20260616
6,600487,亨通光电,通信设备,98.01587301587301,104.07471271889642,99.11423841059603,98.46854304635761,99.54470198675497,42.44,237.41,107.5,23769931050.0,20260616
7,600183,生益科技,元器件,97.61904761904762,104.01542418134702,99.11423841059603,99.58609271523179,98.79966887417218,78.01,146.46,179.4,16561268212.0,20260616
8,300408,三环集团,元器件,97.22222222222221,103.99111326335628,99.1887417218543,99.08940397350993,99.25496688741721,55.6,194.2,150.22,13515061717.9,20260616
9,300570,太辰光,通信设备,96.82539682539682,103.80123943145827,99.0976821192053,99.48261589403974,98.84105960264901,69.65,150.66,263.29,10470076276.900002,20260616
10,603773,沃格光电,元器件,96.42857142857143,103.7956934010418,99.76407284768212,99.87582781456953,99.68956953642383,113.53,278.9,151.03,3954986310.0,20260616
11,002484,江海股份,元器件,96.03174603174604,103.55230610161506,99.36258278145695,99.27566225165563,99.4205298013245,62.55,213.71,95.4,4632179523.33,20260616
12,600869,远东股份,电气设备,95.63492063492063,103.50397874512474,99.25496688741723,99.19288079470199,99.29635761589404,58.14,195.14,34.0,5410750858.0,20260616
13,603256,宏和科技,玻璃,95.23809523809523,103.4969766772243,99.80132450331125,99.68956953642383,99.87582781456953,83.33,431.82,251.55,3223161067.0,20260616
14,301377,鼎泰高科,机械基件,94.84126984126983,103.4035285187027,99.56953642384104,99.91721854304636,99.33774834437085,123.23,203.28,553.58,3504223440.4,20260616
15,600176,中国巨石,玻璃,94.44444444444444,103.37625644582886,98.61341059602648,98.4271523178808,98.73758278145695,42.23,142.03,49.64,11763683957.0,20260616
16,300620,光库科技,通信设备,94.04761904761905,103.36436274638118,98.70033112582782,98.61341059602648,98.75827814569537,45.4,142.26,392.49,10127596095.6,20260616
17,300666,江丰电子,半导体,93.65079365079364,103.27423566212079,98.62996688741723,98.28228476821192,98.86175496688742,40.05,150.93,299.61,9821713344.85,20260616
18,001896,豫能控股,火力发电,93.25396825396825,103.2247958275528,98.93625827814569,97.93046357615894,99.60678807947019,36.26,245.23,22.06,5700662714.16,20260616
19,601208,东材科技,化工原料,92.85714285714286,103.12784663508103,98.97764900662253,98.84105960264901,99.06870860927152,50.02,166.89,71.74,4580455130.0,20260616
20,300285,国瓷材料,陶瓷,92.46031746031747,103.05165824673455,98.4271523178808,98.98592715231787,98.05463576158941,53.63,103.96,67.43,9713245486.76,20260616
21,605589,圣泉集团,化工原料,92.06349206349206,102.93681124519017,98.50993377483444,98.6341059602649,98.4271523178808,45.75,120.88,67.06,6370102075.0,20260616
22,301013,利和兴,专用机械,91.66666666666666,102.83699905766562,99.10182119205297,99.77235099337747,98.65480132450331,98.71,133.64,60.21,3351294092.42,20260616
23,600367,红星发展,化工原料,91.26984126984127,102.82801743318586,99.42880794701986,99.93791390728477,99.08940397350993,125.22,178.75,56.53,2835414538.0,20260616
24,300489,光智科技,专用机械,90.87301587301587,102.79915844305421,99.57781456953643,99.25496688741721,99.79304635761589,61.21,363.38,212.18,2506674946.0,20260616
25,300975,商络电子,元器件,90.47619047619048,102.79852040415675,99.30049668874173,99.46192052980133,99.19288079470199,69.58,186.05,40.19,2914597892.7799997,20260616
26,605376,博迁新材,小金属,90.07936507936508,102.7570151558778,99.08112582781456,99.31705298013244,98.92384105960265,64.11,155.09,213.0,3190392847.0,20260616
