rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
1,300342,天银机电,制造业-通用设备制造业,100.0,2.7170911109821483,3.5902071557885,3.392497039833745,1.0426869603969,1.4956439775262158,0.0997944567654663,0.06135531135531136,0.03022222222222215,0.05535130951432432,1.484985927234584,12.937999999999999,8.977500000000001,0.03337054615168172,0.65,-0.14131126670910255,1676365350.578,46.81,2026-03-23
2,300432,富临精工,制造业-汽车制造业,99.94397759103641,2.638365892647829,3.9276143165548776,2.9397716538635197,1.1438728332514958,0.6906845727313262,0.0997944567654663,0.11912780418387589,0.21029572836801758,0.10786942327992699,1.7175229582724363,6.5,3.746999999999999,0.025865942596480774,0.65,-0.12257019438444927,1224686566.1290002,22.37,2026-03-23
3,600666,奥瑞德,制造业-非金属矿物制品业,99.88795518207283,2.4407816021265267,3.4545441755677917,3.666840407681242,-0.0418612529312683,1.0041738704356855,0.0997944567654663,0.09397590361445785,0.14936708860759484,0.09344894026974959,1.5698026131833234,13.456,10.1635,0.06141954960472883,0.6,-0.10655737704918022,1047381354.95,4.52,2026-03-23
4,300209,行云科技,批发和零售业-零售业,99.83193277310924,2.3276674140193867,3.5558186538523606,2.856077980690145,-0.24004336355482003,1.5955275334458032,0.009615384615384581,0.11912780418387589,0.2592106082543241,0.10786942327992699,1.3807904192726197,9.907999999999998,7.9845,0.07014175968268843,0.6,-0.12285012285012298,546646678.5,10.59,2026-03-23
5,300051,琏升科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.77591036414566,2.1725407752308303,3.59401783115307,3.0971705765199116,-0.3116100912106578,0.15308677921170444,0.0997944567654663,0.11912780418387589,0.22522522522522515,0.10786942327992699,1.7175229582724363,13.456,7.894499999999999,0.06617625806715682,0.45,-0.0803571428571429,308792272.42800003,11.9,2026-03-23
6,301292,海科新源,制造业-化学原料和化学制品制造业,99.71988795518207,2.145813481083991,3.0271121760962667,2.5672643033007905,0.14320315595236693,1.7634126908654182,0.05245450374675009,0.11912780418387589,0.1684210526315788,0.10786942327992699,1.1548376033520962,13.456,14.9138125,0.04867532807811841,0.55,-0.13584905660377367,924684851.9085,69.67,2026-03-23
7,300085,银之杰,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.66386554621849,2.1007312030440928,2.993044059064615,2.5078172008540207,0.8597187201110459,0.6974369012168815,0.034692920768870206,0.11912780418387589,0.1597477666841829,0.09958273650121452,1.7175229582724363,9.068000000000001,5.3575,0.04380989819588413,0.6,-0.08361032983891581,1450907905.7445,44.28,2026-03-23
8,301306,西测测试,科学研究和技术服务业-专业技术服务业,99.6078431372549,2.081737790437562,2.8018994154076813,2.780529490102669,-0.29120524653398944,2.160578007037467,0.0997944567654663,0.11912780418387589,0.2592106082543241,0.10786942327992699,1.7175229582724363,13.456,11.8245,0.07126706874596947,0.6,-0.08993595608417204,808212869.187,135.65,2026-03-23
9,600408,安泰集团,制造业-黑色金属冶炼和压延加工业,99.55182072829132,2.0812820391105196,2.6251652241134042,2.7451504390939068,0.24104095638602996,1.978134322763166,-0.03255813953488362,0.11912780418387589,0.07772020725388606,0.046540880503144644,1.6436252082549148,13.456,11.582500000000001,0.054365904466031185,0.55,-0.1097560975609756,473777564.55,4.17,2026-03-23
10,300668,杰恩设计,租赁和商务服务业-商务服务业,99.49579831932773,1.9821368811357516,3.7900239951129318,1.1856469812231492,1.0797802381305228,-0.30827006560875553,0.05337954939341416,0.11912780418387589,0.16169724770642202,0.10786942327992699,1.1223291184391908,4.47,4.238000000000001,0.030318248962038902,0.5,-0.07977941176470582,117257246.95,30.3,2026-03-23
11,600815,厦工股份,制造业-专用设备制造业,99.43977591036415,1.9587158259983763,3.04567392334096,2.2866484981809267,1.171035809715222,-0.43615353217522623,0.0997944567654663,0.11912780418387589,0.15123456790123457,0.10786942327992699,1.7175229582724363,7.360000000000001,3.6335,0.03402415205611572,0.6,-0.045592705167173175,218994652.0,3.78,2026-03-23
12,600844,金煤科技,制造业-化学原料和化学制品制造业,99.38375350140056,1.9427748173296722,3.0728785765752713,2.0869644447336917,0.15135544973955745,1.0774079037881952,0.037593984962405846,0.11912780418387589,0.2592106082543241,0.10786942327992699,1.0018079635239785,13.0,13.281,0.0507347840299728,0.55,-0.1223021582733812,416565649.7,4.02,2026-03-23
13,002594,比亚迪,制造业-汽车制造业,99.32773109243698,1.930381266070298,2.974893851369374,0.7100644091230536,1.1892008661187932,2.1671163334535084,0.0231359968892777,0.08954451345755698,0.15824804666006376,0.07058757711536434,1.149661066501322,2.206,2.0349999999999997,0.023299256161715673,0.5,-0.032751317284843484,3427138679.0934377,105.93,2026-03-23
14,301428,世纪恒通,信息传输、软件和信息技术服务业-互联网和相关服务,99.27170868347339,1.9290197607670478,2.7085697418494106,3.1123163198027766,-0.41795112444722105,1.007353393106889,0.06302774427020519,-0.03977117951511855,-0.022462562396006747,0.005462298729266735,1.5088445919764026,13.456,13.860000000000003,0.07203232192328957,0.45,-0.1183714501130938,306691378.44200003,35.72,2026-03-23
15,300050,世纪鼎利,信息传输、软件和信息技术服务业-软件和信息技术服务业,99.2156862745098,1.9119598816490508,2.5826810819574155,2.5988795501478843,1.3666655309901563,-0.2944369657927852,0.05723370429252794,0.047244094488189115,0.08482871125611746,0.06348952502798655,1.7175229582724363,9.745999999999999,5.1545000000000005,0.029904020325259337,0.55,-0.05815831987075937,179182732.4,6.68,2026-03-23
