rank,code,name,industry,score_100,score_raw,leadership_score,trend_score,cluster_score,stability_score,liquidity_score,sector_rank_20,sector_rank_60,ret_20,ret_60,ma_bull_20_60,ma_alignment_20,trend_slope_60,trend_slope_20,trend_eff_20,trend_eff_60,amount_ratio_5_20,amount_ratio_20_60,money_flow_bias_20,money_flow_bias_60,pv_sync_20,vol_20,vol_60,max_drawdown_20,max_drawdown_60,chip_tightness,win_rate_20,win_rate_60,avg_amount_20,close,trade_date
1,300420,五洋自控,机械基件,100.0,1.4132393718142802,1.652148626929787,1.9653031193249897,1.3971023655954142,0.38496706252621604,0.18803942562782433,100.0,99.01960784313727,0.900427913100724,1.6448087431693987,0.3631471961126005,0.2137915377545947,0.015678852186682368,0.029821712531216585,0.7764529946062201,0.7966832513930325,1.590463764058522,2.17673045559802,0.439719206408624,0.4249456983720796,0.6451170208054815,0.06386170332865206,0.0473292289468861,-0.0864779874213838,-0.0864779874213838,-0.07875969198316016,0.6,0.5666666666666667,1223046370.9555001,9.68,20260626
2,300985,致远新能,汽车配件,98.48484848484848,1.3418849086051707,1.3525658998966266,1.7750697994773432,1.185578710292491,0.9797650559686206,-0.7813780520133671,99.11894273127754,100.0,0.631858407079646,0.8016609672691746,0.20522724088935096,0.16246014877789594,0.008822596989850287,0.02618794595415211,0.7764529946062201,0.5013615502882873,0.9060770066389046,1.7344302816185617,0.5510484357996019,0.43242833456621477,0.6402363021535841,0.03115019180382695,0.03199389514897999,-0.032258064516129004,-0.14857142857142858,-0.0541736636969499,0.7124999999999999,0.6,190803871.3545,36.88,20260626
3,002972,科安达,运输设备,96.96969696969697,1.273953186964488,1.4862109456748844,1.6352082254452358,0.6579936224923467,1.2739472063881352,-0.2501477167290353,100.0,100.0,0.2986526946107786,0.4038252187846667,0.10321815181692928,0.15914905260277712,0.005281546798518412,0.02090286253289698,0.6744096278846552,0.3330154748710384,1.1544248611348455,1.6125063061327154,0.42367327514159786,0.3523095582269646,0.32788437348400556,0.03140393950737575,0.028300950372878823,-0.06466165413533842,-0.16770670826833078,-0.0418027617614032,0.55,0.5333333333333333,173597622.13799998,17.35,20260626
4,600226,亨通股份,供气供热,95.45454545454545,1.2324706721681147,1.2298401548984013,1.8985838396124,0.8047296750678061,0.9384512351427137,1.9798072129369322,100.0,100.0,0.5834586466165412,1.189189189189189,0.2893201354519406,0.2582095884599068,0.01327832591626817,0.03572146318277662,0.5857931623634518,0.6675871131343835,1.70731648117896,2.0901271057628446,0.2154998381995623,0.2257874082863837,0.540575933620537,0.05602851340799806,0.03835322776728837,-0.07712532865907107,-0.09658246656760783,-0.06400887600034355,0.55,0.5666666666666667,2249083665.7,10.53,20260626
5,301072,中捷精工,汽车配件,93.93939393939394,1.2082219938025482,1.4172345513857774,2.0852679230192526,0.914586712490066,0.16543984754742747,-0.7634780044114179,100.0,99.55947136563876,0.7251184834123221,0.7971274685816876,0.23914304786978513,0.1804914888153822,0.010451062335203301,0.031118850186320386,0.7764529946062201,0.473439896149066,0.8579432108634646,2.17673045559802,0.420437834320288,0.28886551502533075,0.5358641616243138,0.04948616551238659,0.03716991876985398,-0.07316384180790947,-0.140625,-0.07508353847661464,0.65,0.5166666666666667,200625225.54700002,40.04,20260626
6,301377,鼎泰高科,机械基件,92.42424242424242,1.1987284083067529,1.6081341793341424,2.594905513105104,0.1259220237573105,0.1804063514545326,1.759767835945335,99.01960784313727,100.0,0.5962339700232671,2.257531235834744,0.502016766463215,0.23798821745810472,0.022308489897756318,0.03572521417604713,0.5293638650040474,0.8773298970814817,1.1316243637259797,1.570519461039227,0.3568682154228497,0.3135306427395461,0.29597360839594955,0.06577633600333707,0.05437228725261967,-0.10551849605821717,-0.10551849605821717,-0.07859267439014114,0.65,0.6166666666666667,2682068051.9485,590.0,20260626
7,603065,宿迁联盛,化工原料,90.9090909090909,1.1945921927161143,1.455539026226068,1.8198869142790361,0.6817270640584007,0.6626349513196744,-0.7856166263282959,100.0,99.06103286384976,0.900427913100724,1.3775843307943418,0.3229185669539296,0.29273671521078265,0.0130971359756172,0.04044324210272083,0.7764529946062201,0.8023528311408952,1.8448218681021924,2.17673045559802,0.5510484357996019,0.43242833456621477,-0.08956871141792574,0.04542556926607621,0.040398628167314855,-0.028846153846153855,-0.18695652173913035,-0.05332165562752436,0.7,0.55,524819574.15,21.85,20260626
8,603186,华正新材,元器件,89.39393939393939,1.1523233271324425,1.4618985195266956,1.8138419771096927,0.5487626337936566,0.6155130927429818,-0.1588507611655872,98.35390946502058,97.94238683127571,0.871404783530124,2.676030210842973,0.502016766463215,0.29273671521078265,0.023213024174911546,0.04044324210272083,0.7505788087325922,0.9771535005615063,1.3091119373149285,1.512146623918767,0.43940738387169803,0.38459878865909986,0.3478778843591891,0.05935566061519342,0.04803705661296273,-0.10287660862982584,-0.1062594268476621,-0.06782701426014734,0.7,0.6333333333333333,2835262997.0,247.25,20260626
9,600869,远东股份,电气设备,87.87878787878788,1.143239508567985,1.4760617050384701,2.0164886659298578,0.4324590864941654,0.44092029475219097,1.6156809795218467,100.0,99.27797833935018,0.5796439981743495,1.449398443029016,0.39080786614385365,0.15299738515672914,0.017389666884347028,0.02340276232111089,0.5456288465062032,0.5575396066093479,0.9939689967955442,1.594704744917435,0.1739770530258608,0.21788716262555616,0.469313258629964,0.05739701351880823,0.05180718104352774,-0.08366428382314017,-0.10273081924577376,-0.07118176693987743,0.55,0.5833333333333334,4419826718.1,34.61,20260626
10,603823,百合花,染料涂料,86.36363636363636,1.1212214674843577,1.452218883397737,1.8685924347499645,0.16348929250531455,0.8876768532560841,0.51074339276998,100.0,100.0,0.900427913100724,2.565329883570504,0.502016766463215,0.2827956683786998,0.023213024174911546,0.04044324210272083,0.7764529946062201,0.9771535005615063,1.1623894171502662,2.1396395827833015,0.5510484357996019,0.43242833456621477,0.1007697275752339,0.05634292076232121,0.043215164363722754,-0.0591098748261476,-0.0918149466192173,-0.08194704386492029,0.7124999999999999,0.6666666666666666,984459787.5,55.12,20260626
