rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
41,300786,国林科技,环境保护,96.4189794091316,0.8636383092330047,1.1218430834179791,0.4113683750350907,0.8092342117295083,0.9549610295262131,1.4558766706853379,-0.07566119315271289,0.07486941381311651,0.1183574879227054,0.16919191919191912,0.22811671087533147,0.14995343061161126,-0.025263157894736876,0.8906605922551252,0.09891338093759705,0.08383731760322881,0.02615565962598354,0.011912426206777401,2.201227596739014,2.108830924918705,1.7685665377384967,0.602938845403254,0.4090440085580545,11.9582,11.9582,0.0,0.01174007791253417,0.017634551998496843,0.004279802976302118,0.7,-0.021164021164021052,0.018589020553013594,0.02854068605223537,-0.02256968675270231,0.02021425184843495,0.6767270274970061,0.623414543016648,0.3765854569833519,135862718.35,18.52,2026-05-15,False,False,True,True
77,301555,惠柏新材,化工原料,93.19606087735004,0.7470534890898577,0.7416762871936404,0.20289696257478085,0.5046133843613423,1.2343234104933194,0.8896933202717845,0.4395058856815341,0.06331471135940392,0.04387568555758681,0.07273215244229747,0.1329365079365079,0.07166796257071595,-0.011377689834281446,0.832504145936982,0.04120974877335981,0.032179531865833735,0.0173111367707095,0.004145549008053803,2.29621054717088,1.712633139103434,1.4544499656744723,0.602938845403254,0.7862563725605518,16.3943,16.3943,0.0,0.01848800746663251,0.017972672875328305,0.009661547671111295,0.7,-0.048826040554962646,0.017187374536975594,0.037306757387625934,-0.02523512767723573,-0.04144177475987343,0.3849385122378209,0.4948164595482726,0.3529822825900927,121068388.54125,39.97,2026-05-15,False,False,True,True
82,603217,元利科技,化工原料,92.7484333034915,0.7266176835373596,1.1886255155025178,0.8364578658598171,1.0336717496597296,0.5375969089217948,0.36945627702212336,0.07258795279599672,0.10676865192642283,0.09918754231550442,0.0491114701130857,0.2541521823097721,0.10932695592757091,0.009011808576755653,0.9011553273427467,0.03197813460881438,0.03327639221045429,0.10965084098922095,0.008004294987554252,1.880044186328386,1.3332646573229605,1.089227887732383,0.43665379519644826,0.5034996393015615,12.8466,12.8466,0.0,0.025842429651157524,0.025166109027537593,0.008939782033651934,0.65,-0.0628019323671497,0.02388174761797942,0.04705630208586748,-0.03315156940513464,-0.04179353145815323,0.5856146748520585,0.5319921615368185,0.40174608623753966,169546832.1,32.47,2026-05-15,False,False,True,True
83,002643,万润股份,化工原料,92.65890778871977,0.7225687294971465,1.0958168566844957,0.13571341383378335,0.6733713418301823,0.8729794013321307,1.2444158489156256,-0.23422029175444462,0.057309941520467644,0.06855791962174917,0.10513447432762835,0.08198683423099928,0.06871582680656108,0.009743989769821068,0.8571428571428569,0.031594502733855334,0.023720998965568143,0.01912650602409638,0.0028608539228964554,2.7735284689425583,1.8740592737587858,1.553460842760205,0.24851009394670712,0.7719479068139149,9.4456,9.4456,0.0,0.016599916965141088,0.016193349273578916,0.007976170340848937,0.6,-0.038212815990593896,0.013330592065686478,0.023145101990131554,-0.017256396035464507,0.055990594666632365,0.30231858753432034,0.6724933860459243,0.18430060987605815,285072705.8,18.08,2026-05-15,False,False,True,True
86,300041,回天新材,化工原料,92.39033124440465,0.7168282284309292,0.9411471872016717,0.27518819821306223,0.6481252320466836,0.8608001286016846,1.4217901312164773,-0.6448359261613383,0.04201680672268915,0.0625535561268209,0.09929078014184411,0.1282984531392175,0.07317495348132752,0.0,0.9107142857142856,0.04634557964429442,0.03893721061058466,0.0038371318525383113,0.00551098634552106,2.061724927269798,1.8072463418683362,1.5728392795506623,0.5294006738189373,0.6012754637348052,6.3876,6.3876,0.0,0.014063820306490027,0.013045554678601743,0.00480470922745629,0.7,-0.017421602787456525,0.014128439852103375,0.02177295192932016,-0.01718624468299009,0.0006791248256379223,0.5204871281560449,0.6724933860459243,0.3137507643390001,181887007.35,12.4,2026-05-15,False,False,True,True
96,603990,麦迪科技,软件服务,91.49507609668755,0.6773762684094519,1.324985465509928,0.31901847320779947,0.8823599888969915,0.511780588368846,0.9839662989670599,-0.38310922474019465,0.033707865168539186,0.038895859473023764,0.12043301759133951,0.09234828496042202,0.06873184898354312,-0.01134328358208958,0.9198312236286914,0.0465311390771217,0.038322039367537995,0.023729560094698066,0.004758265460359491,1.5341476210730878,1.3991062842826785,1.233819196501664,0.23702628132275042,0.7801750996234597,8.8318,8.8318,0.0,0.01858181718041874,0.01965146576140971,0.0052099817090771276,0.55,-0.04150453955901434,0.021796932283796214,0.03546936961731054,-0.027265907217201943,-0.012555327862068477,0.2863800281709263,0.5328436090463262,0.4083328615419083,228434369.8,16.56,2026-05-15,False,False,True,True
100,002654,万润科技,互联网,91.13697403760071,0.6700526875743653,1.284807217100006,0.26373727033587363,0.8355364405237878,0.8316537385193301,-0.08980228368625293,0.8611988092917723,0.07318652849740936,0.10762032085561501,0.17684659090909083,0.14118457300275478,0.0920354565525423,-0.036067481093659204,0.8401015228426398,0.06646455992355071,0.04658780110060294,0.02972413559091991,0.00409251289161382,1.7728424249846126,1.9823970352149087,1.6645457757314415,0.3033247029482247,0.2725236028222376,16.0988,16.0988,0.0,0.037001180504045536,0.033075312970505776,0.011710332720525147,0.55,-0.13801756587202008,0.027709421325032773,0.04833358543978816,-0.03595908697093493,0.07731729055258452,0.2816035298409642,0.47003215876455223,0.3445218318457761,977067136.7,16.57,2026-05-15,False,False,True,True
118,301149,隆华新材,化工原料,89.52551477170994,0.6201599892400983,0.9411746399194061,0.5285760936634913,0.7596312795668037,0.48947973164001546,0.8002502116819208,-0.10912678172223994,0.05543398978847547,0.06318883174136669,0.10626911314984722,0.12257564003103183,0.07463795024136655,-0.007544581618655677,0.8675799086757995,0.04582250278499833,0.04103973264017835,0.06474952884273222,0.006038490209928827,1.6444953804856715,1.4022701109798568,1.147172845470429,0.36008968169288236,0.6400851710536097,11.054,11.054,0.0,0.019673558034991975,0.017987127070152074,0.009936245213179849,0.6,-0.030626780626780592,0.01800097270656565,0.0355375634334864,-0.025015608997333953,0.00733157805633966,0.4352050186570859,0.6101200076804926,0.38987999231950743,199702340.85,14.47,2026-05-15,False,False,True,True
120,601728,中国电信,电信运营,89.34646374216652,0.6140864495570424,0.880724171041004,1.1088335534838174,0.981092299315842,0.20700505719852721,0.5921754889725996,-0.6221225358789659,0.03431372549019618,0.046280991735537125,0.058528428093645335,0.09326424870466332,0.05254406385101418,0.004761904761904745,0.8636363636363639,0.03292317924842014,0.026272031925506978,0.019984735845323343,0.003553112911977298,1.98066095756166,1.538484375051202,1.385559178471737,0.4070869248035115,0.35214352536706495,1.7937,1.7937,0.0,0.008563974327550083,0.009800758488639158,0.0043959347382885715,0.65,-0.015000000000000013,0.010189472716289472,0.017013436273949252,-0.014527928447251754,0.0013759830999586775,0.5171151135656349,0.5996266117783131,0.4003733882216869,826680532.45,6.33,2026-05-15,False,False,True,True
127,301031,中熔电气,电气设备,88.71978513876455,0.6018234932074431,1.6015702007696913,0.5848462622518643,1.1542116678218475,0.21542047972797373,0.030578609173807704,-0.2897004929318304,0.10448136958710963,0.1334452913060329,0.06087902787014077,0.19252463472646952,0.1179882836764663,-0.0111574439310268,0.9083333333333331,0.05388298329834584,0.04698188397717895,0.0644890014682793,0.007663103209267248,1.4467073031979993,1.5785752541590774,1.3166452554014971,0.21681519278053293,0.5228507469951148,8.8353,8.8353,0.0,0.02852234904821512,0.03779538855239642,0.012988947683265292,0.55,-0.06537530266343827,0.03955950684418185,0.04877843847012313,-0.04324707949455836,0.08132160798968902,0.36610943327990275,0.6724933860459243,0.2647294441953712,652313196.95,175.48,2026-05-15,False,False,True,True
