rank,code,name,industry,score_100,score_raw,launch_score,trend_score,momentum_score,activity_score,stability_score,liquidity_score,ret_3,ret_5,ret_10,ret_20,breakout_20,high_breakout_20,close_position_20,price_vs_ma20,ma_alignment_20,ma_bull_20_60,trend_slope_20,amount_ratio_1_20,amount_ratio_3_20,amount_ratio_5_20,money_flow_bias_20,price_volume_sync_10,turnover_5,turnover_20_used,turnover_accel_5_20,vol_10,vol_20,downside_vol_20,win_rate_20,max_drawdown_20,vol_base,range_base,chip_tightness_20,accel,trend_efficiency_20,close_strength_5,upper_shadow_5,avg_amount_20_used,close,trade_date,kline_fallback_used,quote_only_fallback_used,pass_momentum_floor,pass_next_2_3d_setup
9,300199,翰宇药业,化学制药,99.54519613416714,1.4278110237924966,1.7012914409446553,2.6728127918590405,2.128760835346985,1.1924695410655615,-0.7862501423778453,1.1969281782811263,0.08127659574468082,0.045248868778280604,0.20258577024921565,0.1258307487815684,0.1387724919891542,0.015768853292995186,0.8333333333333335,0.07674726062697457,0.06450355166155011,0.10827724936051841,0.007811785272444537,1.5062407064887067,1.324145750121274,1.1659327916977427,0.1061105727496016,0.872981902395941,10.8037,10.8037,0.0,0.05249199876774547,0.0430901247721355,0.010732701622855396,0.45,-0.10138454667262164,0.04357425412841218,0.05304298317379628,-0.04736174574656582,-0.03184461815127193,0.20332143744800035,0.42781217342533423,0.39985300508730165,1288647826.1,25.41,2026-05-25,False,False,True,True
10,000997,新大陆,IT设备,99.48834565093804,1.4262712339653625,2.0109049462599735,1.0754805304714663,1.5993182033130304,1.7522689071860276,0.6711704683521013,0.6966368470757613,0.10757314974182441,0.13442044953724097,0.1445086705202312,0.2141509433962263,0.17386843005358554,0.015768853292995186,0.9524064580304535,0.09460722836620672,0.07901037509976047,0.011758282321818747,0.011126550842960764,2.3475205401500334,2.055843302774698,1.6743887045853867,0.4732460708233684,0.7917052926537597,12.0087,12.0087,0.0,0.03663844125208755,0.03179514889621695,0.011995359605504397,0.6,-0.059410646387832666,0.022280512860462457,0.035567954286027055,-0.0275954894306883,0.06413743066931632,0.42891349088079245,0.6920670970985667,0.06556918776207482,769456967.95,25.74,2026-05-25,False,False,True,True
18,301023,奕帆传动,电气设备,99.03354178510517,1.2754818790873719,1.2832464930479361,1.1126710228220515,1.208193286148547,1.6704820046033915,1.0035808626394251,0.6739114631191893,0.09146608315098459,0.07732181425485973,0.11989223170184116,0.20774818401937067,0.1340229623735365,-0.024828934506353817,0.8900432900432904,0.09923837671933611,0.07986813686484022,0.03926942797060695,0.011524092714450653,2.1748470743181274,2.210081114768601,1.9278699625655442,0.3834106833002765,0.6903879340478779,16.96517749999999,17.193124999999995,0.0,0.03162401551208674,0.0257891248214312,0.007348962620881306,0.6,-0.039964077233947015,0.02131421334735751,0.032865817180930665,-0.02593485488078677,-0.043743561047803636,0.46311947709139584,0.6778429496409168,0.28015705035908367,152048815.25,49.88,2026-05-25,False,False,True,True
19,301026,浩通科技,小金属,98.97669130187606,1.270570192684272,1.3910086065354303,1.0492771803640877,1.2406467790200397,1.6349586868056258,1.244984489938668,0.026168773178442684,0.04611291752882063,0.14198128428525347,0.09397217928902624,0.1405091846600064,0.10324833219028617,-0.02934722984092153,0.8087071240105538,0.07014153002057455,0.051823679780534704,0.040553179756388946,0.006621547946804463,1.8310128375972625,1.8514130581195527,1.8415382157430027,0.4280664996203194,0.4989138853888303,12.9893,12.9893,0.0,0.028822031398146243,0.024593691828673086,0.011208823378715446,0.6,-0.05440494590417311,0.01903469268114154,0.03262008477603311,-0.024468849519098168,0.14327035937387744,0.37150167117681054,0.5966139403786936,0.29540126874678163,240899487.4,35.39,2026-05-25,False,False,True,True
29,600226,亨通股份,供气供热,98.40818646958499,1.1317521835650708,1.593768391599602,1.1579756869469726,1.402019601552445,0.9781737588551753,0.6601821665337979,0.9356752279370837,0.07462686567164178,0.12500000000000022,0.15921288014311274,0.21575984990619146,0.15015974440894597,0.015768853292995186,0.8734177215189878,0.07348242811501615,0.059140930067447695,0.04893412356098925,0.008778602523347766,2.3475205401500334,1.680513394768166,1.4245284222056918,0.26107492307135177,0.5816971335938808,12.4705,12.4705,0.0,0.02621000612739581,0.026005150992435822,0.01214019487183399,0.55,-0.029850746268656803,0.021244583668736182,0.041712235701132847,-0.029431644481694847,0.044324577861163394,0.4767563738907055,0.599522144522145,0.2774009324009318,560358334.7,6.48,2026-05-25,False,False,True,True
32,300496,中科创达,软件服务,98.23763501989767,1.1251646805862576,1.3680412340189956,0.808697251858856,1.1219298818685342,1.3411877966801613,1.0305768499974208,0.6611311093553423,0.056464165798082,0.06364712847838949,0.07381948595337717,0.11410852713178299,0.07897140960807314,-0.003328710124826606,0.7897977132805628,0.051311977393935004,0.03994308150090337,0.02972649269357741,0.00522836628736267,1.8473038682990501,1.8015718142698107,1.5697731405810988,0.44932481055905527,0.4808909614116504,9.808,9.808,0.0,0.0246303243414078,0.020017172540701064,0.010419728416269685,0.65,-0.03880331753554489,0.019171232800654196,0.03363398432557778,-0.02495633341062363,0.016205268013273155,0.32951615184867683,0.5052298982626902,0.41920322458461123,1292111720.2,71.86,2026-05-25,False,False,True,True
35,301419,阿莱德,通信设备,98.06708357021034,1.1172010312198382,1.711170073998573,0.694247588372056,1.2637241803229056,1.2810852857160768,0.6853343808146921,0.6907098928623541,0.08391608391608396,0.09592269620551508,0.0714285714285714,0.021080368906455815,0.083840290888749,-0.027400125496758077,0.8431137724550896,0.03894832529193759,0.03399762254387793,0.045581569156281754,0.00510751741250895,1.463975585859825,1.7751509126998815,1.3467462286852423,0.1775074378566468,0.5684948745798425,16.96517749999999,17.193124999999995,0.0,0.027538582193310894,0.02981474985372263,0.020126919272060756,0.55,-0.060187249219795014,0.028604558209046647,0.03754092059331932,-0.03217910316275571,0.16421430797538772,0.04526037195426396,0.6920670970985667,0.25370691416710656,222639223.05,46.5,2026-05-25,False,False,True,True
44,300566,激智科技,元器件,97.55542922114839,1.0521890888467842,1.120185230021256,0.6926772854859339,0.9320817344257144,1.4220856008019076,1.093922138614057,0.4415460579434407,0.07458563535911611,0.1569131390874105,0.12917271407837427,0.22971548998946245,0.15290572748153797,-0.016020236087689654,0.8873239436619718,0.08928350910123717,0.07122428313863001,0.04082157271021325,0.010372816379906004,2.3475205401500334,2.210081114768601,1.9278699625655442,0.4907248863759334,0.7592431266002516,16.96517749999999,17.0345,0.0,0.028191126192551933,0.02519282979692546,0.005543620537226717,0.65,-0.037735849056603876,0.01969731711606025,0.02831896999970224,-0.023145978269517045,0.12550879150395677,0.5640670073640048,0.6209117109852882,0.3378184477448703,266525535.25,23.34,2026-05-25,False,False,True,True
48,300424,航新科技,航空,97.32802728823195,1.0306463850949525,1.2739546852395587,0.9886638703645904,1.1484267266945727,1.1699847374757817,0.8003078428862219,0.06277392697036627,0.02810862315388274,0.13221406086044074,0.0898989898989897,0.18571428571428572,0.12039873319142291,-0.013711151736745975,0.9136842105263158,0.07502206531332734,0.06360002076735354,0.05758002818602814,0.009406986653071553,1.6194020531231952,1.591304722636635,1.574410291331482,0.3569057048171449,0.80789991391596,11.2049,11.2049,0.0,0.03446097658186007,0.0282929440129585,0.011849098655825627,0.6,-0.06979014153245489,0.02527545395937367,0.03977005305954521,-0.031073293599442286,0.08496131360769343,0.3927453907931152,0.5313486823918214,0.31138084614415884,310061959.0,21.58,2026-05-25,False,False,True,True
55,605018,长华集团,汽车配件,96.9300739056282,1.0126911901209361,1.0470253405267678,0.8198258918553172,0.9470575831113296,1.2137401590038563,1.1290875790374348,0.4620535988417095,0.04996431120628131,0.1010479041916168,0.1177811550151977,0.15918045705279749,0.11540794661813791,0.010302197802197766,0.8977272727272729,0.0600545950864424,0.04849863512283905,0.08546187824082963,0.006817544315748404,2.1482451959744906,1.9688219979596604,1.642084193650103,0.4365803204428171,0.4112894166983487,15.3239,15.3239,0.0,0.024314984977490208,0.018686038803809,0.008992865008588846,0.65,-0.026925953627524257,0.013238772987503696,0.02822407218339237,-0.019232892665859168,0.04825042586222361,0.512840524135578,0.541562928370388,0.4042704049629454,112512670.4675,14.71,2026-05-25,False,False,True,True
