rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
1,301526,国际复材,玻璃,100.0,104.3734294853075,99.87176835573939,99.8965873836608,99.85522233712513,118.49,378.67,46.67,9250187248.050001,20260630
2,600176,中国巨石,玻璃,99.66666666666667,104.32535807906771,99.4250258531541,99.58634953464323,99.31747673216132,90.19,224.78,72.88,15990560070.0,20260630
3,300285,国瓷材料,陶瓷,99.33333333333333,104.22109686086021,99.53671147880041,99.77249224405378,99.37952430196484,99.96,235.22,103.18,11397443503.3,20260630
4,600667,太极实业,半导体,99.0,104.04309660662321,99.39193381592554,99.87590486039298,99.06928645294725,114.87,195.34,29.18,11281286603.0,20260630
5,600206,有研新材,半导体,98.66666666666667,104.0136188575139,99.49534643226474,99.97931747673216,99.17269906928645,144.22,203.0,66.6,9298783418.0,20260630
6,001309,德明利,半导体,98.33333333333333,103.96909646232655,99.20165460186143,98.40744570837641,99.7311271975181,57.83,291.28,942.9,12225718651.5,20260630
7,603986,兆易创新,半导体,98.0,103.9244435130056,98.94105480868666,99.15201654601861,98.80041365046536,74.15,178.18,815.0,36399346133.0,20260630
8,300666,江丰电子,半导体,97.66666666666667,103.77790336932735,99.24301964839711,99.75180972078593,98.90382626680456,96.0,184.9,368.6,9386736825.65,20260630
9,300489,光智科技,专用机械,97.33333333333334,103.63800430828641,99.96690796277146,99.91726990692864,100.0,125.06,625.63,311.95,3687609511.0,20260630
10,301396,宏景科技,软件服务,97.0,103.63097156324832,99.64426059979317,99.7311271975181,99.58634953464323,95.32,259.07,331.6,4805273693.7,20260630
11,301217,铜冠铜箔,元器件,96.66666666666667,103.57824143582062,99.32574974146846,98.3453981385729,99.97931747673216,57.37,436.99,165.07,6268745571.8,20260630
12,002409,雅克科技,半导体,96.33333333333334,103.57127396784931,98.98655635987589,99.85522233712513,98.40744570837641,113.83,148.37,224.5,9713191461.650002,20260630
13,002636,金安国纪,元器件,96.0,103.41398028632584,99.90899689762152,99.95863495346433,99.87590486039298,140.57,393.7,119.97,3390245338.7000003,20260630
14,300604,长川科技,半导体,95.66666666666667,103.2940628789935,98.72595656670114,98.92450879007238,98.59358841778698,67.66,160.75,341.42,9456545579.460001,20260630
15,000021,深科技,元器件,95.33333333333334,103.26240693723439,98.32885211995864,99.23474663908996,97.72492244053774,76.42,122.85,64.27,16372523163.2,20260630
16,600522,中天科技,通信设备,95.0,103.2249172870851,98.35780765253361,98.09720785935883,98.53154084798345,54.05,158.65,60.68,15070116615.0,20260630
17,002428,云南锗业,小金属,94.66666666666667,103.1075285071822,98.63908996897622,97.3733195449845,99.48293691830403,46.45,242.78,120.18,8884267175.519999,20260630
18,002384,东山精密,元器件,94.33333333333334,103.00174186699282,98.08479834539813,95.92554291623578,99.52430196483971,36.82,250.22,262.35,16198463635.0,20260630
19,603186,华正新材,元器件,94.0,103.00085203750339,99.36297828335057,99.52430196483971,99.25542916235781,87.25,211.4,225.3,3615995841.0,20260630
20,600487,亨通光电,通信设备,93.66666666666667,102.99314247235172,98.15925542916236,97.10444674250257,98.86246122026887,44.71,182.61,109.34,13975574951.0,20260630
